Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C104.txt,822.9,1103.906287683342,34.15%,59829,383919,1800.1540207862854,False (Time Limit),False
C201.txt,589.1,801.4023349831589,36.04%,53958,393506,1800.1117091178894,False (Time Limit),False
R104.txt,971.5,1383.4659704604915,42.41%,60731,386942,1800.1556987762451,False (Time Limit),False
R203.txt,870.8,999.86498834551,14.82%,57947,425876,1800.086926460266,False (Time Limit),False
RC104.txt,1132.3,1873.78230996871,65.48%,64590,398575,1800.1254818439484,False (Time Limit),False
C1_2_10.TXT,2643.51,3384.9712783350565,28.05%,7766,51446,1802.937581539154,False (Time Limit),False
C2_2_10.TXT,1806.58,2167.1706540141777,19.96%,7488,53257,1800.663937330246,False (Time Limit),False
R1_2_10.TXT,3301.18,5268.169433252906,59.58%,8889,57937,1800.4847266674042,False (Time Limit),False
R2_2_10.TXT,2654.97,2954.6733840423512,11.29%,7851,56088,1802.5459477901459,False (Time Limit),False
RC2_2_10.TXT,2015.6,2894.89622454863,43.62%,7407,53151,1800.544662475586,False (Time Limit),False
