Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C104.txt,822.9,1444.7485802926383,75.57%,393,1781,10.083554983139038,False (Time Limit),False
C201.txt,589.1,1715.1800623731376,191.15%,252,1352,10.052134275436401,False (Time Limit),False
R104.txt,971.5,1531.8005085552288,57.67%,362,1325,10.083496570587158,False (Time Limit),False
R203.txt,870.8,1526.6938505941614,75.32%,268,1222,10.061334609985352,False (Time Limit),False
RC104.txt,1132.3,1752.3561144516539,54.76%,420,2145,10.068500757217407,False (Time Limit),False
C1_2_10.TXT,2643.51,inf,N/A,31,166,10.415327310562134,False (No Sol),False
C2_2_10.TXT,1806.58,inf,N/A,31,166,10.45449423789978,False (No Sol),False
R1_2_10.TXT,3301.18,inf,N/A,20,117,10.381274223327637,False (No Sol),False
R2_2_10.TXT,2654.97,inf,N/A,16,131,11.837916851043701,False (No Sol),False
RC2_2_10.TXT,2015.6,inf,N/A,20,172,10.57651948928833,False (No Sol),False
