Instance,Best Known Cost,Cost,Gap to BKC,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
abz5.txt,1234.0,1353.0,9.64%,6492828,16559059,1800.0663697719574,False (Time Limit),False
ft06.txt,55.0,55.0,0.00%,14529400,16099823,1800.1325407028198,False (Time Limit),False
ft10.txt,930.0,1079.0,16.02%,8016870,18576098,1800.0594863891602,False (Time Limit),False
la07.txt,890.0,944.0,6.07%,9566314,15261698,1800.1413853168488,False (Time Limit),False
la21.txt,1046.0,1299.0,24.19%,4550779,11746721,1800.1888403892517,False (Time Limit),False
la26.txt,1218.0,1435.0,17.82%,3025529,8331782,1800.128555059433,False (Time Limit),False
ta01.txt,1231.0,1662.0,35.01%,3529664,8918734,1800.2072422504425,False (Time Limit),False
ft20.txt,1165.0,1455.0,24.89%,6124009,12672735,1800.5358757972717,False (Time Limit),False
ta20.txt,1318.0,1879.0,42.56%,2130650,6900122,1800.235447883606,False (Time Limit),False
ta41.txt,1859.0,3087.0,66.06%,844738,3555591,1800.5129935741425,False (Time Limit),False
