Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,LP Relaxed LB
61.txt,665.0,25434,103587,10.014205932617188,False (Time Limit),509.1199999999999
53.txt,653.0,34279,143637,10.01893401145935,False (Time Limit),423.03999999999996
50.txt,671.0,46757,194122,10.00730276107788,False (Time Limit),475.8400000000002
89.txt,618.0,48345,192304,10.019969463348389,False (Time Limit),426.0400000000002
31.txt,570.0,47406,181352,10.004872798919678,False (Time Limit),401.76000000000005
75.txt,612.0,35677,151206,10.008373022079468,False (Time Limit),428.5799999999999
52.txt,643.0,48957,190572,10.024433374404907,False (Time Limit),485.7199999999999
33.txt,679.0,49098,199152,10.008785247802734,False (Time Limit),510.02000000000004
39.txt,630.0,48000,188793,10.009351015090942,False (Time Limit),419.26
11.txt,662.0,49027,199603,10.003204107284546,False (Time Limit),510.41999999999996
14.txt,661.0,48023,187119,10.009558200836182,False (Time Limit),504.2999999999999
54.txt,578.0,41275,165085,10.009217739105225,False (Time Limit),407.21999999999997
78.txt,654.0,49019,193636,10.00949764251709,False (Time Limit),414.2200000000001
59.txt,582.0,47337,192598,10.011333703994753,False (Time Limit),434.6599999999998
46.txt,612.0,48992,192687,10.008845329284668,False (Time Limit),459.36
4.txt,681.0,48611,192108,10.01665997505188,False (Time Limit),486.32000000000005
79.txt,696.0,47534,181641,10.009031295776367,False (Time Limit),477.2800000000001
48.txt,662.0,36195,152316,10.004183530807495,False (Time Limit),441.71999999999997
22.txt,673.0,37358,156779,10.007654905319214,False (Time Limit),527.3799999999999
87.txt,676.0,40422,166844,10.000503301620483,False (Time Limit),475.0400000000003
