Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
61.txt,600.0,False,227254,936692,1849.2814288139343,1631.4597,1566.5136643949918,['h_mst']
53.txt,555.0,False,204711,866100,1804.790068626404,1680.7911,1637.072998700256,"['h_mst', 'h_mst', 'MIN']"
50.txt,577.0,False,199588,842877,1804.762506723404,1682.8176,1641.1786600998116,"['h_1tree', 6.91, 'h_global_min_flow', 'MULTIPLY', 'MIN']"
89.txt,529.0,False,242319,1047554,1805.826964378357,1668.3553,1611.935078600428,"[1.18, 'h_eigen', 'MULTIPLY']"
31.txt,538.0,False,234090,1014380,1805.652421951294,1673.3501,1618.8334509998376,['h_mst']
75.txt,550.0,False,291861,1293916,1808.989155292511,1658.3109,1600.215607900216,"[1.35, 1.35, 'h_mst', 'MULTIPLY', 'MULTIPLY']"
52.txt,607.0,False,266918,1140229,1806.3505165576933,1651.5416,1591.1316146011795,"[1.8, 'h_eigen', 'MAX']"
33.txt,624.0,False,592484,2449841,1815.8040401935573,1544.5458,1441.7884833013704,['h_degree_average']
39.txt,527.0,False,219092,936406,1806.9381353855133,1635.7897,1570.6648122014722,"[1.68, 'h_mst', 'MULTIPLY']"
11.txt,574.0,False,190194,805457,1805.022656917572,1627.9165,1559.6083932974398,"[1.15, 'h_1tree', 'MULTIPLY']"
14.txt,575.0,False,190766,755085,1806.52568936348,1611.7629,1538.102422400243,['h_mst']
54.txt,552.0,False,412999,1658641,1814.8116555213928,1577.0539,1496.7042581951137,"[0.25, 'h_assignment', 'MULTIPLY', 'h_assignment', 'MIN']"
78.txt,551.0,False,219278,944771,1805.668967485428,1647.6523,1586.4061884999828,['h_1tree']
59.txt,537.0,False,228617,962706,1806.703148841858,1625.2114,1555.8657344012172,['h_eigen']
46.txt,576.0,False,246020,1069039,1806.6627023220065,1654.2551,1596.634350893306,['h_mst']
79.txt,612.0,False,267453,1108091,1806.7044186592104,1654.2087,1596.5466852972604,['h_mst']
48.txt,550.0,False,214684,912882,1805.18168926239,1657.8639,1612.3540328914678,"[2.03, 'h_mst', 'MULTIPLY', 'h_mst', 'SUBTRACT']"
22.txt,599.0,False,219414,921356,1805.85642528534,1655.4033,1596.8502242976974,"[0.83, 'h_1tree', 'MULTIPLY']"
87.txt,588.0,False,230669,975724,1810.090015411377,1651.1441,1590.6516062066294,"[1.92, 'h_eigen', 'MULTIPLY']"
4.txt,602.0,False,222610,940499,1810.2552711963654,1662.1448,1605.4532329978974,['h_mst']
