Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
1.txt,390.0,1729727,2138550,92.90251731872559,True,False
12.txt,399.0,3177018,3913438,190.4903268814087,True,False
18.txt,384.0,1909001,2415415,114.88606071472168,True,False
19.txt,400.0,3343660,4133487,185.27357721328735,True,False
21.txt,367.0,878757,1056094,47.9588668346405,True,False
26.txt,389.0,3652033,4663144,208.6114740371704,True,False
29.txt,389.0,6116699,7641785,343.03578996658325,True,False
30.txt,393.0,3071363,3793261,163.02847290039062,True,False
47.txt,317.0,6208839,7527006,330.2145962715149,True,False
49.txt,360.0,468074,556641,24.830436944961548,True,False
5.txt,424.0,3000356,3626421,148.14493870735168,True,False
53.txt,425.0,7345950,9392046,409.4673902988434,True,False
71.txt,413.0,6610588,8236701,368.62530303001404,True,False
84.txt,374.0,6976469,9014630,377.6976480484009,True,False
85.txt,371.0,1733915,2156882,88.35657787322998,True,False
86.txt,371.0,3086198,3839862,163.32850551605225,True,False
91.txt,365.0,2919349,3599863,154.3509340286255,True,False
95.txt,371.0,7109647,9141704,377.19929099082947,True,False
98.txt,356.0,933640,1198358,50.793384313583374,True,False
99.txt,322.0,3236471,4074204,176.83432292938232,True,False
