Instance,Total_Time_(s),Best_Fitness,Best_Chromosome,Log_File
98.txt,65.48,0.1067415730337078,"[5.59, 'h_eigen', 'MULTIPLY', 0.25, 'h_global_min_flow', 'MULTIPLY', 'h_lp_relaxation', 8.07, 'h_1tree', 'MULTIPLY', 'SUBTRACT', 'ADD', 'PDIV', 'h_degree_average', 8.88, 'h_mst', 'MULTIPLY', 'h_assignment', 'MIN', 'PDIV', 'MAX']",batch_logs\98.txt_log.txt
91.txt,50.65,0.3424657534246575,"[7.78, 'h_lp_relaxation', 'MULTIPLY', 'h_assignment', 2.48, 'h_global_min_flow', 'MULTIPLY', 'h_1tree', 'SUBTRACT', 'MIN', 'h_mst', 'h_degree_average', 'h_eigen', 'MIN', 'ADD', 'SUBTRACT', 'MAX']",batch_logs\91.txt_log.txt
18.txt,45.97,0.203125,"[4.95, 'h_degree_average', 'MULTIPLY', 'h_global_min_flow', 'MAX']",batch_logs\18.txt_log.txt
12.txt,50.71,0.0651629072681704,"[0.74, 'h_degree_average', 'MULTIPLY', 'h_lp_relaxation', 1.07, 'SUBTRACT', 'MIN']",batch_logs\12.txt_log.txt
49.txt,66.11,0.0,"['h_1tree', 9.56, 'h_lp_relaxation', 'MULTIPLY', 'h_mst', 'h_global_min_flow', 'h_eigen', 1.65, 'h_mst', 'MULTIPLY', 0.61, 'h_degree_average', 'MULTIPLY', 'SUBTRACT', 'PDIV', 'ADD', 'MAX', 'SUBTRACT', 'ADD']",batch_logs\49.txt_log.txt
99.txt,55.8,0.0869565217391304,"['h_lp_relaxation', 'h_1tree', 'PDIV']",batch_logs\99.txt_log.txt
85.txt,61.02,0.1994609164420485,"[8.8, 'h_eigen', 'MULTIPLY', 'h_global_min_flow', 8.12, 'h_lp_relaxation', 'MULTIPLY', 'h_mst', 'MULTIPLY', 'SUBTRACT', 'MAX', 8.8, 'h_eigen', 'MULTIPLY', 'h_global_min_flow', 8.12, 'h_lp_relaxation', 'MULTIPLY', 'h_mst', 'MULTIPLY', 'SUBTRACT', 'MAX', 'SUBTRACT']",batch_logs\85.txt_log.txt
26.txt,83.06,0.2210796915167095,"[7.05, 'h_mst', 'MULTIPLY', 'h_lp_relaxation', 1.59, 'h_assignment', 'MULTIPLY', 'h_global_min_flow', 3.96, 'h_1tree', 'MULTIPLY', 8.64, 'h_eigen', 'MULTIPLY', 'ADD', 'MULTIPLY', 'MIN', 'SUBTRACT', 'MAX']",batch_logs\26.txt_log.txt
1.txt,50.98,0.7435897435897436,"[7.85, 'h_global_min_flow', 'MULTIPLY', 8.75, 'h_degree_average', 'MULTIPLY', 0.3, 'h_assignment', 'MULTIPLY', 'ADD', 'SUBTRACT', 3.83, 'h_lp_relaxation', 'MULTIPLY', 'h_1tree', 9.46, 'h_mst', 'MULTIPLY', 'h_eigen', 'MULTIPLY', 'SUBTRACT', 'MULTIPLY', 'MULTIPLY']",batch_logs\1.txt_log.txt
53.txt,60.9,0.0564705882352941,"['h_1tree', 'h_degree_average', 'MAX', 0.33, 'h_lp_relaxation', 'MULTIPLY', 'h_global_min_flow', 'MIN', 'MIN', 'h_degree_average', 'h_degree_average', 'MULTIPLY', 'h_assignment', 3.75, 'h_1tree', 'MULTIPLY', 'ADD', 'MAX', 'PDIV']",batch_logs\53.txt_log.txt
