Instance,Status,Cost,Time (s),Expanded,Generated,Is Optimal
1.txt,success,833.0,0.070397138595581,1259,1444,True
17.txt,success,605.0,0.2572028636932373,3536,4120,True
20.txt,success,743.0,0.1304893493652343,2140,2544,True
34.txt,success,713.0,0.2428874969482422,4075,4750,True
36.txt,success,739.0,0.4415419101715088,7050,8380,True
39.txt,success,606.0,0.1550254821777343,2475,3012,True
41.txt,success,820.0,0.216341495513916,3346,3816,True
42.txt,success,669.0,0.2822608947753906,4199,5144,True
43.txt,success,574.0,0.7850050926208496,14974,18444,True
48.txt,success,593.0,0.2725696563720703,4994,6148,True
51.txt,success,652.0,0.151834487915039,2613,2992,True
59.txt,success,636.0,0.3680188655853271,7560,9275,True
62.txt,success,761.0,0.0623621940612793,1103,1264,True
68.txt,success,569.0,0.083587646484375,1340,1644,True
77.txt,success,595.0,0.1952152252197265,3581,4220,True
80.txt,success,742.0,0.1227242946624755,2257,2764,True
84.txt,success,592.0,0.1501188278198242,2450,2957,True
88.txt,success,639.0,0.0980486869812011,1985,2328,True
9.txt,success,679.0,0.2690041065216064,3800,4337,True
90.txt,success,763.0,0.0411169528961181,516,581,True
