Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
88.txt,639.0,True,2105,2471,0.5673344135284424,0.2974,0.2605565995909273,['h_mst']
90.txt,763.0,True,535,607,0.1575274467468261,0.0747,0.0679473000782309,"[5.97, 'h_1tree', 'MULTIPLY']"
1.txt,833.0,True,1354,1583,0.280036449432373,0.1393,0.1198707997536985,['h_degree_average']
43.txt,574.0,True,28689,34573,14.775102138519289,11.6656,10.948854399830452,['h_lp_3idx']
62.txt,761.0,True,1158,1326,1.715000867843628,1.4196,1.3590245999512265,"[0.72, 'h_lp_tsptw', 'MULTIPLY']"
20.txt,743.0,True,2123,2521,0.6175978183746338,0.349,0.3087294999277219,"[2.09, 'h_mst', 'MULTIPLY']"
36.txt,739.0,True,7064,8325,1.486839771270752,0.7943,0.6884447005577385,['h_degree_average']
51.txt,652.0,True,2669,3079,0.7068495750427246,0.3948,0.345654300544993,['h_mst']
9.txt,679.0,True,3815,4301,4.004816293716431,3.3792,3.2558170007832814,"[8.01, 'h_lp_tsptw', 'MULTIPLY']"
84.txt,592.0,True,2350,2707,0.6896240711212158,0.3842,0.3411970991728594,"[6.57, 'h_mst', 'MULTIPLY']"
39.txt,606.0,True,2841,3459,0.5681884288787842,0.3018,0.2591192000836599,['h_eigen']
59.txt,636.0,True,11730,13912,2.125380754470825,1.223,1.0366971970361192,"[3.66, 'h_degree_average', 'MULTIPLY']"
34.txt,713.0,True,4352,5154,0.8256850242614746,0.4592,0.4009319997567218,['h_1tree']
42.txt,669.0,True,4681,5672,1.8613393306732176,1.4481,1.3721284001221647,"[9.2, 'h_lp_2idx', 'MULTIPLY']"
68.txt,569.0,True,2144,2520,0.4366898536682129,0.2372,0.2086650014243787,['h_1tree']
17.txt,605.0,True,3746,4204,3.234380960464477,2.7549,2.660466699831886,"[4.09, 'h_lp_tsptw', 'MULTIPLY']"
80.txt,742.0,True,2420,2882,0.8672969341278076,0.5178,0.4470681995589984,"[2.13, 'h_1tree', 'MULTIPLY']"
41.txt,820.0,True,3514,4045,0.6158380508422852,0.2946,0.2512728996807709,"[0.37, 'h_global_min_flow', 'MULTIPLY']"
77.txt,595.0,True,4289,5112,0.7913894653320312,0.4064,0.3433877012284938,['h_eigen']
48.txt,593.0,True,5293,6487,1.3055307865142822,0.7763,0.6812269008078147,"[1.54, 'h_mst', 'MULTIPLY']"
