Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
85.txt,1664.0,True,16751,19164,8.506328105926514,4.809,4.499106600545929,"[6.02, 'h_1tree', 'MULTIPLY', 'h_assignment', 'MAX']"
12.txt,1551.0,True,37233,41281,13.650688886642456,6.3212,5.582777303308831,"[7.23, 'h_degree_average', 'MULTIPLY']"
14.txt,1723.0,True,10290,11920,3.401789903640747,1.5118,1.3484715009544743,['h_eigen']
72.txt,1718.0,True,28568,33213,9.74407124519348,4.688,4.133163900580257,['h_mst']
46.txt,1667.0,True,13372,15464,5.931525230407715,2.6179,2.357297001115512,['h_1tree']
3.txt,1628.0,True,12468,14411,5.166219472885132,2.3348,2.0769584986555856,"[9.07, 'h_degree_average', 'MULTIPLY']"
64.txt,1798.0,True,13820,15992,4.658459901809692,2.0225,1.7941707012651025,"[3.43, 'h_eigen', 'MULTIPLY']"
56.txt,1641.0,True,26691,30980,9.930798530578612,4.2142,3.744779102038592,['h_assignment']
84.txt,1440.0,True,15549,17933,5.638937473297119,2.6087,2.3232810011541005,"[8.89, 'h_mst', 'MULTIPLY']"
27.txt,1502.0,True,18129,20602,10.14458680152893,5.6057,5.244558700796915,"['h_global_min_flow', 7.43, 'h_degree_average', 'MULTIPLY', 'SUBTRACT']"
10.txt,1541.0,True,9544,11223,3.703062772750856,1.5055,1.325331499814638,['h_assignment']
31.txt,1494.0,True,12173,14178,9.343050003051758,6.72,6.475050799301243,"['h_eigen', 'h_assignment', 'SUBTRACT', 'h_1tree', 'h_1tree', 'PDIV', 'MAX']"
59.txt,1418.0,True,63096,75524,24.495892763137817,11.8374,10.212683193894918,['h_1tree']
80.txt,1769.0,True,12226,13770,6.774430274963379,2.7812,2.452070098981494,['h_global_min_flow']
75.txt,1593.0,True,14576,16220,3.958506584167481,1.6607,1.453370300179813,['h_assignment']
0.txt,1416.0,True,25781,31223,12.169767141342165,5.5112,4.889458895471762,['h_global_min_flow']
29.txt,1584.0,True,12062,13909,7.574339389801025,3.5115,3.138867799891159,"[9.87, 'h_1tree', 'MULTIPLY']"
51.txt,1311.0,True,85065,97778,29.156190395355225,14.3567,12.393054708838465,"[1.43, 'h_degree_average', 'MULTIPLY']"
52.txt,1716.0,True,8275,9479,2.2329561710357666,0.9185,0.8082804988516727,"[7.57, 'h_assignment', 'MULTIPLY']"
48.txt,1495.0,True,23169,27774,6.393164873123169,3.1442,2.7891837002534885,['h_1tree']
