Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal
88.txt,639.0,1985,2328,0.08913421630859375,True
90.txt,763.0,516,581,0.02727818489074707,True
1.txt,833.0,1259,1444,0.06028032302856445,True
43.txt,574.0,14974,18444,0.7564740180969238,True
62.txt,761.0,1103,1264,0.0527796745300293,True
20.txt,743.0,2140,2544,0.12584757804870605,True
36.txt,739.0,7050,8380,0.43530702590942383,True
51.txt,652.0,2613,2992,0.14528512954711914,True
9.txt,679.0,3800,4337,0.24477267265319824,True
84.txt,592.0,2450,2957,0.14563298225402832,True
39.txt,606.0,2475,3012,0.14824318885803223,True
59.txt,636.0,7560,9275,0.3515472412109375,True
34.txt,713.0,4075,4750,0.2226731777191162,True
42.txt,669.0,4199,5144,0.257953405380249,True
68.txt,569.0,1340,1644,0.07243132591247559,True
17.txt,605.0,3536,4120,0.19446516036987305,True
80.txt,742.0,2257,2764,0.11668705940246582,True
41.txt,820.0,3346,3816,0.20481276512145996,True
77.txt,595.0,3581,4220,0.20029807090759277,True
48.txt,593.0,4994,6148,0.27567267417907715,True
