Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal
85.txt,1664.0,16826,19393,2.5912017822265625,True
12.txt,1551.0,37304,41892,4.822879791259766,True
14.txt,1723.0,10172,11728,1.3631033897399902,True
72.txt,1718.0,28514,33369,3.4455244541168213,True
46.txt,1667.0,13270,15313,2.2419018745422363,True
3.txt,1628.0,16114,18212,2.2889583110809326,True
64.txt,1798.0,13777,16037,1.8939638137817383,True
56.txt,1641.0,26707,31050,4.376615047454834,True
84.txt,1440.0,15071,17555,2.0266385078430176,True
27.txt,1502.0,18402,21197,2.885143280029297,True
10.txt,1541.0,9411,11054,1.3806452751159668,True
31.txt,1494.0,11713,13652,1.5118188858032227,True
59.txt,1418.0,62049,74522,6.915249347686768,True
80.txt,1769.0,12204,13737,1.6107017993927002,True
75.txt,1593.0,11034,12683,1.4030094146728516,True
0.txt,1416.0,25176,30525,3.914762020111084,True
29.txt,1584.0,12138,14445,1.774460792541504,True
51.txt,1311.0,61022,74360,6.756092071533203,True
52.txt,1716.0,7920,9318,1.0010085105895996,True
48.txt,1495.0,21069,25347,2.467639923095703,True
