Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
A-n32-k5.vrp,843.4253891634958,135379,541904,30.0271737575531,False (Time Limit),False
A-n33-k5.vrp,707.5806014626186,136541,530935,30.01957869529724,False (Time Limit),False
A-n33-k6.vrp,788.9128617077648,139424,540173,30.02119517326355,False (Time Limit),False
A-n34-k5.vrp,895.162898502734,137415,515850,30.018033266067505,False (Time Limit),False
A-n36-k5.vrp,865.9310925953267,137956,520808,30.03121542930603,False (Time Limit),False
A-n37-k5.vrp,741.6464232075725,111407,467673,30.011160135269165,False (Time Limit),False
A-n37-k6.vrp,1002.3783791910691,140769,548960,30.019790172576904,False (Time Limit),False
A-n38-k5.vrp,808.4452231352859,142420,527738,30.022321701049805,False (Time Limit),False
A-n39-k5.vrp,938.7518782509082,117996,464132,30.01088857650757,False (Time Limit),False
A-n39-k6.vrp,908.5755120570237,105432,440328,30.01309895515442,False (Time Limit),False
A-n44-k6.vrp,1051.011543553411,91068,379587,30.00492525100708,False (Time Limit),False
A-n45-k6.vrp,1095.5448946136419,105201,398642,30.021538734436035,False (Time Limit),False
A-n45-k7.vrp,1221.2112269104496,93060,398053,30.0220890045166,False (Time Limit),False
A-n46-k7.vrp,1037.2783726395123,90222,393048,30.020607709884644,False (Time Limit),False
A-n48-k7.vrp,1190.437045410361,68938,310221,30.014100074768066,False (Time Limit),False
A-n53-k7.vrp,1215.9766271746828,65578,286820,30.013285160064697,False (Time Limit),False
A-n54-k7.vrp,1323.017952840805,64045,278352,30.01641321182251,False (Time Limit),False
A-n55-k9.vrp,1188.140432136883,61441,272141,30.010217905044556,False (Time Limit),False
A-n60-k9.vrp,1553.6640361898183,60178,268503,30.012686729431152,False (Time Limit),False
A-n61-k9.vrp,1211.549675380914,63051,270974,30.003992557525635,False (Time Limit),False
A-n62-k8.vrp,1477.3168564431498,55286,255603,30.008781909942627,False (Time Limit),False
A-n63-k10.vrp,1519.1712925930556,61764,268612,30.014151334762573,False (Time Limit),False
A-n63-k9.vrp,1820.6300073821571,62888,274061,30.014069318771362,False (Time Limit),False
A-n64-k9.vrp,1747.665155411687,56289,262882,30.008076429367065,False (Time Limit),False
A-n65-k9.vrp,1371.8892378623545,59129,254841,30.00801920890808,False (Time Limit),False
A-n69-k9.vrp,1332.9644220136395,41830,201477,30.011507272720337,False (Time Limit),False
A-n80-k10.vrp,2212.324058774762,41086,196654,30.016273736953735,False (Time Limit),False
