Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
X-n1001-k43.vrp,Inf,203,1628,30.094820976257324,False (No Sol),False
X-n101-k25.vrp,Inf,46689,174620,30.01766276359558,False (No Sol),False
X-n106-k14.vrp,28572.866836006455,19736,107609,30.007325410842896,False (Time Limit),False
X-n110-k13.vrp,16861.710436614678,24857,129543,30.00845241546631,False (Time Limit),False
X-n115-k10.vrp,15864.26845086601,18504,96953,30.002123594284058,False (Time Limit),False
X-n120-k6.vrp,15181.774717851593,18593,96142,30.01223373413086,False (Time Limit),False
X-n125-k30.vrp,Inf,17728,95492,30.006940364837646,False (No Sol),False
X-n129-k18.vrp,37462.06241546269,17925,95960,30.01194167137146,False (Time Limit),False
X-n134-k13.vrp,15148.312665617479,19550,105509,30.00961947441101,False (Time Limit),False
X-n139-k10.vrp,16738.383368080264,18819,96695,30.00196385383606,False (Time Limit),False
X-n143-k7.vrp,21688.34757042045,16015,84442,29.99863290786743,False (Time Limit),False
X-n148-k46.vrp,Inf,20381,102515,30.000307083129883,False (No Sol),False
X-n153-k22.vrp,Inf,13855,74658,30.010396480560303,False (No Sol),False
X-n157-k13.vrp,18312.64934250465,14886,82074,30.010685443878174,False (Time Limit),False
X-n162-k11.vrp,16567.407544850445,12016,65275,30.014950037002563,False (Time Limit),False
X-n167-k10.vrp,24669.915069983785,11257,60002,30.035643577575684,False (Time Limit),False
X-n172-k51.vrp,Inf,13526,63273,30.010612726211548,False (No Sol),False
X-n176-k26.vrp,Inf,11572,59765,29.997005939483643,False (No Sol),False
X-n181-k23.vrp,27603.882633558715,11531,62497,30.018271684646606,False (Time Limit),False
X-n186-k15.vrp,28537.866662995468,8830,49117,30.01021718978882,False (Time Limit),False
X-n190-k8.vrp,19863.47084115016,10669,58102,30.006938934326172,False (Time Limit),False
X-n195-k51.vrp,Inf,12139,63307,30.008121013641357,False (No Sol),False
X-n200-k36.vrp,Inf,9951,58241,30.016640424728394,False (No Sol),False
X-n204-k19.vrp,23426.952659082028,7571,44945,30.007245779037476,False (Time Limit),False
X-n209-k16.vrp,35254.44405782838,7731,44677,30.021974325180054,False (Time Limit),False
X-n214-k11.vrp,14217.20632586656,9161,50147,30.011342525482178,False (Time Limit),False
X-n219-k73.vrp,119122.49404875792,8139,46021,30.02279019355774,False (Time Limit),False
X-n223-k34.vrp,53808.8848878289,8118,46125,30.018580675125122,False (Time Limit),False
X-n228-k23.vrp,37370.69386809375,7685,41494,30.014479637145996,False (Time Limit),False
X-n233-k16.vrp,Inf,8067,46465,30.00268793106079,False (No Sol),False
X-n237-k14.vrp,31538.29682205793,5368,30407,30.00741219520569,False (Time Limit),False
X-n242-k48.vrp,99494.29374555261,7857,45597,30.011722087860107,False (Time Limit),False
X-n247-k50.vrp,Inf,7169,40050,30.016260385513306,False (No Sol),False
X-n251-k28.vrp,42972.05355935007,5126,28779,30.010640859603882,False (Time Limit),False
X-n256-k16.vrp,Inf,5881,34901,30.002676010131836,False (No Sol),False
X-n261-k13.vrp,36296.182450211396,5125,28492,30.023070812225342,False (Time Limit),False
X-n266-k58.vrp,Inf,4625,34255,30.016783714294434,False (No Sol),False
X-n270-k35.vrp,Inf,3758,23341,30.019269704818726,False (No Sol),False
