Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
A-n32-k5.vrp,784,843.4253891634958,7.58%,30766,122791,10.25114893913269,False (Time Limit),False
A-n33-k5.vrp,661,707.5806014626186,7.05%,31880,123606,10.023755550384521,False (Time Limit),False
A-n33-k6.vrp,742,825.207946480216,11.21%,32383,125202,10.017099857330322,False (Time Limit),False
A-n34-k5.vrp,778,920.1110817024095,18.27%,32550,119118,10.018373727798462,False (Time Limit),False
A-n36-k5.vrp,799,919.6978950436514,15.11%,27748,112960,10.012157440185547,False (Time Limit),False
A-n37-k5.vrp,669,748.5032643124983,11.88%,20369,86984,10.016337394714355,False (Time Limit),False
A-n37-k6.vrp,949,1006.3905549707479,6.05%,30939,122318,10.005726337432861,False (Time Limit),False
A-n38-k5.vrp,730,908.3828347495617,24.44%,27778,111804,10.005882024765015,False (Time Limit),False
A-n39-k5.vrp,822,938.7518782509082,14.2%,24284,98209,10.015283107757568,False (Time Limit),False
A-n39-k6.vrp,831,949.0821465548529,14.21%,20136,82976,10.011168718338013,False (Time Limit),False
A-n44-k6.vrp,937,1058.501652259648,12.97%,22492,92505,10.009876251220703,False (Time Limit),False
A-n45-k6.vrp,944,1122.6378358005297,18.92%,23291,88615,10.015565395355225,False (Time Limit),False
A-n45-k7.vrp,1146,1221.2112269104496,6.56%,17392,75754,10.010174036026001,False (Time Limit),False
A-n46-k7.vrp,914,1042.7226375321318,14.08%,15783,70227,10.014159202575684,False (Time Limit),False
A-n48-k7.vrp,1073,1228.8057931262213,14.52%,20240,89682,10.014302968978882,False (Time Limit),False
A-n53-k7.vrp,1010,1220.7256653326908,20.86%,17815,77739,10.021297454833984,False (Time Limit),False
A-n54-k7.vrp,1167,1327.2714040789176,13.73%,16384,71412,10.008823156356812,False (Time Limit),False
A-n55-k9.vrp,1073,1229.7760538952268,14.61%,15527,67979,10.013716697692871,False (Time Limit),False
A-n60-k9.vrp,1354,1580.1640046656996,16.7%,16037,73441,10.020527362823486,False (Time Limit),False
A-n61-k9.vrp,1034,1261.7378095904644,22.02%,15550,66723,10.037919759750366,False (Time Limit),False
A-n62-k8.vrp,1288,1646.0272459184873,27.8%,8714,39254,10.015239477157593,False (Time Limit),False
A-n63-k10.vrp,1314,1613.0909422800846,22.76%,10491,47621,10.01151704788208,False (Time Limit),False
A-n63-k9.vrp,1616,1891.767881825274,17.06%,9253,41880,10.008283376693726,False (Time Limit),False
A-n64-k9.vrp,1401,1758.343852913796,25.51%,12575,59760,10.009947299957275,False (Time Limit),False
A-n65-k9.vrp,1174,1468.859595191027,25.12%,10265,45317,10.010170698165894,False (Time Limit),False
A-n69-k9.vrp,1159,1332.9644220136395,15.01%,9529,43764,10.010109663009644,False (Time Limit),False
A-n80-k10.vrp,1763,2325.825881901044,31.92%,9276,44344,10.006304264068604,False (Time Limit),False
