Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
X-n1001-k43.vrp,72355,inf,N/A,65,557,10.110788106918335,False (No Sol),False
X-n101-k25.vrp,27591,inf,N/A,10302,40517,10.024057388305664,False (No Sol),False
X-n106-k14.vrp,26362,28572.866836006455,8.39%,6585,31962,10.005549907684326,False (Time Limit),False
X-n110-k13.vrp,14971,16861.710436614678,12.63%,7502,36932,10.012799501419067,False (Time Limit),False
X-n115-k10.vrp,12747,15864.26845086601,24.45%,7213,35364,10.007082223892212,False (Time Limit),False
X-n120-k6.vrp,13332,16262.829894592074,21.98%,7491,36683,10.005738019943237,False (Time Limit),False
X-n125-k30.vrp,55539,inf,N/A,6876,35857,10.027721643447876,False (No Sol),False
X-n129-k18.vrp,28940,37462.06241546269,29.45%,4411,22394,10.060354709625244,False (Time Limit),False
X-n134-k13.vrp,10916,15311.102261748962,40.26%,6005,32802,10.004004955291748,False (Time Limit),False
X-n139-k10.vrp,13590,16915.760248796138,24.47%,5283,27292,10.001269340515137,False (Time Limit),False
X-n143-k7.vrp,15700,21688.34757042045,38.14%,3640,18488,10.016189813613892,False (Time Limit),False
X-n148-k46.vrp,43448,inf,N/A,5706,30876,10.048357009887695,False (No Sol),False
X-n153-k22.vrp,21220,inf,N/A,4363,21929,10.007024049758911,False (No Sol),False
X-n157-k13.vrp,16876,18312.64934250465,8.51%,4970,26397,10.012004613876343,False (Time Limit),False
X-n162-k11.vrp,14138,17306.312421474384,22.41%,3757,20804,10.008411169052124,False (Time Limit),False
X-n167-k10.vrp,20557,24669.915069983785,20.01%,3320,17744,10.005208969116211,False (Time Limit),False
X-n172-k51.vrp,45607,inf,N/A,3625,18047,10.012911558151245,False (No Sol),False
X-n176-k26.vrp,47812,inf,N/A,3427,16873,10.006656646728516,False (No Sol),False
X-n181-k23.vrp,25569,27603.882633558715,7.96%,3002,16237,10.001463890075684,False (Time Limit),False
X-n186-k15.vrp,24145,28537.866662995468,18.19%,3112,16508,10.012586116790771,False (Time Limit),False
X-n190-k8.vrp,16980,19863.47084115016,16.98%,3248,17374,10.0042724609375,False (Time Limit),False
X-n195-k51.vrp,44225,inf,N/A,3736,18576,10.008686780929565,False (No Sol),False
X-n200-k36.vrp,58578,inf,N/A,2422,14272,10.012080669403076,False (No Sol),False
X-n204-k19.vrp,19565,23426.952659082028,19.74%,1628,9199,10.014276266098022,False (Time Limit),False
X-n209-k16.vrp,30656,35254.44405782838,15.0%,2448,14206,10.004305124282837,False (Time Limit),False
X-n214-k11.vrp,10856,14217.20632586656,30.96%,3240,16659,10.01767897605896,False (Time Limit),False
X-n219-k73.vrp,117595,119816.57174772512,1.89%,2574,14305,10.020517587661743,False (Time Limit),False
X-n223-k34.vrp,40437,55052.15666033993,36.14%,1972,11143,10.055347681045532,False (Time Limit),False
X-n228-k23.vrp,25742,37370.69386809375,45.17%,2118,11090,10.006649255752563,False (Time Limit),False
X-n233-k16.vrp,19230,inf,N/A,2589,15158,10.014119625091553,False (No Sol),False
X-n237-k14.vrp,27042,31538.29682205793,16.63%,1855,9768,10.017391920089722,False (Time Limit),False
X-n242-k48.vrp,82751,99494.29374555261,20.23%,2149,12043,10.018751382827759,False (Time Limit),False
X-n247-k50.vrp,37274,inf,N/A,1760,9530,10.061585426330566,False (No Sol),False
X-n251-k28.vrp,38684,43933.0775750748,13.57%,1060,5641,10.024146556854248,False (Time Limit),False
X-n256-k16.vrp,18839,inf,N/A,1343,8189,10.013432264328003,False (No Sol),False
X-n261-k13.vrp,26558,36296.182450211396,36.67%,1729,8873,10.014337301254272,False (Time Limit),False
