Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
A-n39-k6.vrp,831,949.0821465548528,14.21%,20136,82976,10.011168718338013,False (Time Limit),False
A-n48-k7.vrp,1073,1228.8057931262213,14.52%,20240,89682,10.014302968978882,False (Time Limit),False
A-n55-k9.vrp,1073,1229.7760538952268,14.61%,15527,67979,10.013716697692873,False (Time Limit),False
A-n69-k9.vrp,1159,1332.9644220136397,15.01%,9529,43764,10.010109663009644,False (Time Limit),False
A-n80-k10.vrp,1763,2325.825881901044,31.92%,9276,44344,10.006304264068604,False (Time Limit),False
X-n106-k14.vrp,26362,28572.86683600645,8.39%,6585,31962,10.005549907684326,False (Time Limit),False
X-n162-k11.vrp,14138,17306.312421474384,22.41%,3757,20804,10.008411169052124,False (Time Limit),False
X-n181-k23.vrp,25569,27603.882633558715,7.96%,3002,16237,10.001463890075684,False (Time Limit),False
X-n190-k8.vrp,16980,19863.47084115016,16.98%,3248,17374,10.0042724609375,False (Time Limit),False
X-n204-k19.vrp,19565,23426.952659082028,19.74%,1628,9199,10.014276266098022,False (Time Limit),False
