Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Dual Bound Chromosome,Bridging Time (s),Python Bound Time (s)
A-n39-k6.vrp,891.4542979875386,False,715231,2939282,1840.044144392013,"[2.96, 'h_global_min_flow', 'MULTIPLY']",1361.8456,1227.2572402007645
A-n48-k7.vrp,1169.7757733978708,False,735746,2945875,1837.6995241642,"[0.14, 0.14, 'h_global_min_flow', 'MULTIPLY', 'MULTIPLY']",1382.1847,1256.635546212652
A-n55-k9.vrp,1130.579772176506,False,474649,2074065,1856.1906938552856,['h_degree_average'],1380.595,1250.8387899029767
A-n69-k9.vrp,1264.8404065995296,False,300009,1410138,1818.0286674499512,['h_flow'],1484.8915,1382.0076025021554
A-n80-k10.vrp,2169.7732773942826,False,283435,1384363,1823.8626532554624,"['h_lp_3idx', 9.5, 'h_lp_2idx', 'MULTIPLY', 'SUBTRACT']",1459.989,1354.576085308203
X-n162-k11.vrp,16614.515648342356,False,71850,408496,1819.6522669792173,"[8.11, 'h_lp_3idx', 'MULTIPLY']",1531.6676,1458.0251312224718
X-n181-k23.vrp,27250.074917630176,False,57286,327846,1820.0752255916595,"[2.79, 'h_lp_2idx', 'MULTIPLY', 4.06, 'h_degree_average', 'MULTIPLY', 'h_eigen', 'SUBTRACT', 'MULTIPLY', 7.1, 'h_global_min_flow', 'MULTIPLY', 'h_lp_3idx', 4.49, 'h_mst', 'MULTIPLY', 7.14, 'h_assignment', 'MULTIPLY', 'h_flow', 7.1, 'h_1tree', 'MULTIPLY', 'ADD', 'PDIV', 'MIN', 'SUBTRACT', 'ADD', 'SUBTRACT']",1541.2346,1470.313533697903
X-n190-k8.vrp,19593.065383484965,False,64588,364001,1816.8576428890228,"[0.63, 'h_degree_average', 'MULTIPLY']",1552.764,1492.0969536154737
X-n204-k19.vrp,22399.78161331979,False,53278,312136,1819.712387084961,"[9.92, 'h_lp_3idx', 'MULTIPLY', 'h_lp_3idx', 'MIN', 3.71, 'h_lp_2idx', 'MULTIPLY', 4.47, 'h_lp_2idx', 'MULTIPLY', 'MULTIPLY', 'ADD']",1592.8159,1534.3019919846702
X-n106-k14.vrp,27983.830484091523,False,137470,772726,1815.9451975822449,"[0.5, 'h_lp_3idx', 'MULTIPLY']",1528.1338,1442.1430116740812
