Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
A-n39-k6.vrp,831,877.8464680622174,5.64%,5308314,21555801,1801.3959591388702,Time Limit,False
A-n48-k7.vrp,1073,1150.2588516046962,7.2%,3912608,17247944,1800.4290552139282,Time Limit,False
A-n55-k9.vrp,1073,1161.8729164888778,8.28%,3719194,16085976,1800.5643286705017,Time Limit,False
A-n69-k9.vrp,1159,1289.682883345472,11.28%,2550765,11867506,1800.3120577335358,Time Limit,False
A-n80-k10.vrp,1763,2071.8941783684795,17.52%,2469038,11500682,1800.132793188095,Time Limit,False
X-n106-k14.vrp,26362,27865.19902137087,5.7%,1059926,5870616,1800.1333961486816,Time Limit,False
X-n162-k11.vrp,14138,15768.499316267662,11.53%,667227,3668847,1800.0477199554443,Time Limit,False
X-n181-k23.vrp,25569,26591.992610934798,4.0%,461595,2720389,1800.0261046886444,Time Limit,False
X-n204-k19.vrp,19565,22140.68201519092,13.16%,466922,2826878,1800.018919467926,Time Limit,False
X-n190-k8.vrp,16980,19553.12979232301,15.15%,637435,3675874,1800.0119986534119,Time Limit,False
