Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
A-n39-k6.vrp,891.4542979875386,False,925492,3806107,1841.475016593933,1395.2794,1260.8684454635368,"[2.96, 'h_global_min_flow', 'MULTIPLY']"
A-n48-k7.vrp,1169.7757733978708,False,772353,3148663,1823.7658939361568,1410.1042,1288.7744299469632,"[0.14, 0.14, 'h_global_min_flow', 'MULTIPLY', 'MULTIPLY']"
A-n55-k9.vrp,1130.579772176506,False,515481,2273095,1831.6027336120603,1480.2559,1373.4749287909654,['h_degree_average']
A-n69-k9.vrp,1264.8404065995296,False,311984,1478881,1827.2231237888336,1512.9552,1392.6558863754617,['h_flow']
A-n80-k10.vrp,2142.4247166617133,False,327908,1588785,1834.6147453784945,1495.9395,1382.522489076364,"['h_lp_3idx', 9.5, 'h_lp_2idx', 'MULTIPLY', 'SUBTRACT']"
X-n106-k14.vrp,27983.830484091523,False,185162,1032062,1818.6949713230133,1530.3681,1446.3182503066491,"[0.5, 'h_lp_3idx', 'MULTIPLY']"
X-n162-k11.vrp,16614.515648342356,False,96048,544224,1814.021548986435,1556.07,1494.4747618907422,"[8.11, 'h_lp_3idx', 'MULTIPLY']"
X-n181-k23.vrp,27190.28666037889,False,93322,525501,1817.0926303863523,1548.1729,1484.648901261549,"[2.79, 'h_lp_2idx', 'MULTIPLY', 4.06, 'h_degree_average', 'MULTIPLY', 'h_eigen', 'SUBTRACT', 'MULTIPLY', 7.1, 'h_global_min_flow', 'MULTIPLY', 'h_lp_3idx', 4.49, 'h_mst', 'MULTIPLY', 7.14, 'h_assignment', 'MULTIPLY', 'h_flow', 7.1, 'h_1tree', 'MULTIPLY', 'ADD', 'PDIV', 'MIN', 'SUBTRACT', 'ADD', 'SUBTRACT']"
X-n190-k8.vrp,19593.065383484965,False,97637,538420,1814.434076547623,1540.0444,1479.482307807586,"[0.63, 'h_degree_average', 'MULTIPLY']"
X-n204-k19.vrp,22399.78161331979,False,54817,322295,1817.43532538414,1583.3668,1525.7401964007731,"[9.92, 'h_lp_3idx', 'MULTIPLY', 'h_lp_3idx', 'MIN', 3.71, 'h_lp_2idx', 'MULTIPLY', 4.47, 'h_lp_2idx', 'MULTIPLY', 'MULTIPLY', 'ADD']"
