Instance,Total_Time_(s),Best_Fitness,Best_Chromosome,Log_File
A-n39-k6.vrp,1638.76,0.11403718738944707,"[2.96, 'h_global_min_flow', 'MULTIPLY']",CVRP_EA_batch_logs\A-n39-k6.vrp_log.txt
A-n48-k7.vrp,1641.68,0.17598716390082897,"[0.14, 0.14, 'h_global_min_flow', 'MULTIPLY', 'MULTIPLY']",CVRP_EA_batch_logs\A-n48-k7.vrp_log.txt
A-n55-k9.vrp,1541.14,0.10645916070958576,['h_degree_average'],CVRP_EA_batch_logs\A-n55-k9.vrp_log.txt
A-n69-k9.vrp,1670.44,0.17611702335487373,['h_flow'],CVRP_EA_batch_logs\A-n69-k9.vrp_log.txt
A-n80-k10.vrp,1508.94,0.2793317565752428,"['h_lp_3idx', 9.5, 'h_lp_2idx', 'MULTIPLY', 'SUBTRACT']",CVRP_EA_batch_logs\A-n80-k10.vrp_log.txt
X-n106-k14.vrp,2000.04,0.08004332808650147,"[0.5, 'h_lp_3idx', 'MULTIPLY']",CVRP_EA_batch_logs\X-n106-k14.vrp_log.txt
X-n162-k11.vrp,2113.11,0.19047532967067557,"[8.11, 'h_lp_3idx', 'MULTIPLY']",CVRP_EA_batch_logs\X-n162-k11.vrp_log.txt
X-n181-k23.vrp,2946.69,0.07146736747001478,"[2.79, 'h_lp_2idx', 'MULTIPLY', 4.06, 'h_degree_average', 'MULTIPLY', 'h_eigen', 'SUBTRACT', 'MULTIPLY', 7.1, 'h_global_min_flow', 'MULTIPLY', 'h_lp_3idx', 4.49, 'h_mst', 'MULTIPLY', 7.14, 'h_assignment', 'MULTIPLY', 'h_flow', 7.1, 'h_1tree', 'MULTIPLY', 'ADD', 'PDIV', 'MIN', 'SUBTRACT', 'ADD', 'SUBTRACT']",CVRP_EA_batch_logs\X-n181-k23.vrp_log.txt
X-n190-k8.vrp,2060.25,0.16383824520419152,"[0.63, 'h_degree_average', 'MULTIPLY']",CVRP_EA_batch_logs\X-n190-k8.vrp_log.txt
X-n204-k19.vrp,2674.83,0.2671278609942532,"[9.92, 'h_lp_3idx', 'MULTIPLY', 'h_lp_3idx', 'MIN', 3.71, 'h_lp_2idx', 'MULTIPLY', 4.47, 'h_lp_2idx', 'MULTIPLY', 'MULTIPLY', 'ADD']",CVRP_EA_batch_logs\X-n204-k19.vrp_log.txt
