CVRP Instance,Total Times (s),Bridging Total Time (both dual bound calculation time and switching time) (s),Dual Bound Calculation Time (s),Dual Bound Chromosome
A-n39-k6.vrp,1841.48,1395.28,1260.87,"[2.96, 'h_global_min_flow', 'MULTIPLY']"
A-n48-k7.vrp,1823.77,1410.1,1288.77,"[0.14, 0.14, 'h_global_min_flow', 'MULTIPLY', 'MULTIPLY']"
A-n55-k9.vrp,1831.6,1480.26,1373.47,['h_degree_average']
A-n69-k9.vrp,1827.22,1512.96,1392.66,['h_flow']
A-n80-k10.vrp,1834.61,1495.94,1382.52,"['h_lp_3idx', 9.5, 'h_lp_2idx', 'MULTIPLY', 'SUBTRACT']"
X-n106-k14.vrp,1818.69,1530.37,1446.32,"[0.5, 'h_lp_3idx', 'MULTIPLY']"
X-n162-k11.vrp,1814.02,1556.07,1494.47,"[8.11, 'h_lp_3idx', 'MULTIPLY']"
X-n181-k23.vrp,1817.09,1548.17,1484.65,"[2.79, 'h_lp_2idx', 'MULTIPLY', 4.06, 'h_degree_average', 'MULTIPLY', 'h_eigen', 'SUBTRACT', 'MULTIPLY', 7.1, 'h_global_min_flow', 'MULTIPLY', 'h_lp_3idx', 4.49, 'h_mst', 'MULTIPLY', 7.14, 'h_assignment', 'MULTIPLY', 'h_flow', 7.1, 'h_1tree', 'MULTIPLY', 'ADD', 'PDIV', 'MIN', 'SUBTRACT', 'ADD', 'SUBTRACT']"
X-n190-k8.vrp,1814.43,1540.04,1479.48,"[0.63, 'h_degree_average', 'MULTIPLY']"
X-n204-k19.vrp,1817.44,1583.37,1525.74,"[9.92, 'h_lp_3idx', 'MULTIPLY', 'h_lp_3idx', 'MIN', 3.71, 'h_lp_2idx', 'MULTIPLY', 4.47, 'h_lp_2idx', 'MULTIPLY', 'MULTIPLY', 'ADD']"
Average,1824.04,1505.26,1412.9,
Average (%),100%,83%,77%,
