Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C1_2_1.txt,2704.57,inf,N/A,3019,8167,10.017481803894043,False (No Sol),False
C1_2_10.TXT,2643.51,6667.414496086404,152.22%,3151,8236,10.090187549591064,False (Time Limit),False
C1_2_2.TXT,2917.89,inf,N/A,3313,9302,10.012921810150146,False (No Sol),False
C1_2_3.TXT,2707.35,7306.722174001556,169.88%,3262,8928,10.081377267837524,False (Time Limit),False
C1_2_4.TXT,2643.31,6210.838228484947,134.96%,3428,9617,10.062359809875488,False (Time Limit),False
C1_2_5.TXT,2702.05,inf,N/A,3272,8873,10.011708498001099,False (No Sol),False
C1_2_6.TXT,2701.04,inf,N/A,2599,6388,10.009524583816528,False (No Sol),False
C1_2_7.TXT,2701.04,inf,N/A,3439,8872,10.006587028503418,False (No Sol),False
C1_2_8.TXT,2775.48,7654.934507459216,175.81%,3742,10071,10.016648292541504,False (Time Limit),False
C1_2_9.TXT,2687.83,7171.8524494749745,166.83%,3450,9078,10.035642385482788,False (Time Limit),False
C2_2_1.TXT,1931.44,inf,N/A,2926,7591,10.023186445236206,False (No Sol),False
C2_2_10.TXT,1806.58,5455.235510437234,201.96%,3257,8974,10.033801078796387,False (Time Limit),False
C2_2_2.TXT,1863.16,6781.271274929664,263.97%,3794,10539,10.028342247009277,False (Time Limit),False
C2_2_3.TXT,1775.08,6331.977595100603,256.72%,3687,10698,10.02819037437439,False (Time Limit),False
C2_2_4.TXT,1703.43,5407.799235277749,217.47%,3336,9639,10.03322434425354,False (Time Limit),False
C2_2_5.TXT,1878.85,6359.461961655777,238.48%,3409,8914,10.066575050354004,False (Time Limit),False
C2_2_6.TXT,1857.35,6219.613428308272,234.86%,3573,9852,10.020807266235352,False (Time Limit),False
C2_2_7.TXT,1849.46,5746.961733564805,210.74%,3210,8323,10.072898387908936,False (Time Limit),False
C2_2_8.TXT,1820.53,5603.367727081813,207.79%,3446,9294,10.03075623512268,False (Time Limit),False
C2_2_9.TXT,1830.05,5627.4287824811945,207.50%,3408,9595,10.031623363494873,False (Time Limit),False
R1_2_1.TXT,4784.11,inf,N/A,2766,6897,10.000972509384155,False (No Sol),False
R1_2_10.TXT,3301.18,7594.405181883289,130.05%,2950,7433,10.019175291061401,False (Time Limit),False
R1_2_2.TXT,4039.86,8277.876874042357,104.91%,3623,9687,10.014931440353394,False (Time Limit),False
R1_2_3.TXT,3381.96,6976.827313172868,106.30%,3560,9799,10.021937370300293,False (Time Limit),False
R1_2_4.TXT,3057.81,6627.763486987813,116.75%,2378,6333,10.025729179382324,False (Time Limit),False
R1_2_5.TXT,4107.86,inf,N/A,3067,7700,10.012396812438965,False (No Sol),False
R1_2_6.TXT,3583.14,7766.044698422251,116.74%,2470,6126,10.014783143997192,False (Time Limit),False
R1_2_7.TXT,3150.11,6570.12294811528,108.57%,2954,8037,10.056282758712769,False (Time Limit),False
R1_2_8.TXT,2951.99,6730.109717567464,127.99%,3096,8173,10.069258451461792,False (Time Limit),False
R1_2_9.TXT,3760.58,8412.59042428884,123.70%,3355,8657,10.067291259765625,False (Time Limit),False
R2_2_1.TXT,4483.16,8557.179882048486,90.87%,3403,9056,10.045271396636963,False (Time Limit),False
R2_2_10.TXT,2654.97,7238.458946841814,172.64%,3319,8965,10.059228897094727,False (Time Limit),False
R2_2_2.TXT,3621.2,7705.375102849886,112.79%,3475,9683,10.029794931411743,False (Time Limit),False
R2_2_3.TXT,2880.62,6837.2442408087845,137.35%,3419,9692,10.020942687988281,False (Time Limit),False
R2_2_4.TXT,1981.29,5852.930886390628,195.41%,3339,9819,10.0226571559906,False (Time Limit),False
R2_2_5.TXT,3366.79,7840.097961063724,132.87%,3591,9685,10.027762413024902,False (Time Limit),False
R2_2_6.TXT,2913.03,7222.883240413518,147.95%,3509,9873,10.032910346984863,False (Time Limit),False
R2_2_7.TXT,2451.14,6450.080545516688,163.15%,2108,5618,10.059453010559082,False (Time Limit),False
R2_2_8.TXT,1849.87,5710.711130993892,208.71%,3047,9206,10.081517696380615,False (Time Limit),False
R2_2_9.TXT,3092.04,7407.76213447912,139.58%,3267,8825,10.139114141464233,False (Time Limit),False
RC1_2_1.TXT,3602.8,inf,N/A,2643,6376,10.090355634689331,False (No Sol),False
RC1_2_10.TXT,3000.3,6403.904831127275,113.44%,3050,7342,10.06299877166748,False (Time Limit),False
RC1_2_2.TXT,3249.05,7615.654176913726,134.40%,3046,7848,10.008092880249023,False (Time Limit),False
RC1_2_3.TXT,3008.33,6903.4285835409955,129.48%,2999,7873,10.013959646224976,False (Time Limit),False
RC1_2_4.TXT,2851.68,6148.7218656233035,115.62%,3571,9585,10.031399488449097,False (Time Limit),False
RC1_2_5.TXT,3371.0,inf,N/A,2199,4715,10.005548238754272,False (No Sol),False
RC1_2_6.TXT,3324.8,7613.321591109067,128.99%,3625,8726,10.02065896987915,False (Time Limit),False
RC1_2_7.TXT,3189.32,7446.830391233955,133.49%,3570,8826,10.032338619232178,False (Time Limit),False
RC1_2_8.TXT,3083.93,6648.1350908812165,115.57%,3515,8784,10.025591850280762,False (Time Limit),False
RC1_2_9.TXT,3081.13,6443.40937131833,109.12%,3677,9290,10.038078308105469,False (Time Limit),False
RC2_2_1.TXT,3099.53,8015.641115685363,158.61%,2971,7624,10.022822618484497,False (Time Limit),False
RC2_2_10.TXT,2015.6,5754.7715003469,185.51%,3315,8979,10.027550458908081,False (Time Limit),False
RC2_2_2.TXT,2825.24,7274.387869934134,157.48%,2482,6340,10.03782320022583,False (Time Limit),False
RC2_2_3.TXT,2601.87,5842.417580731593,124.55%,3095,8177,10.033726215362549,False (Time Limit),False
RC2_2_4.TXT,2038.56,5543.896233325606,171.95%,3304,9105,10.04153847694397,False (Time Limit),False
RC2_2_5.TXT,2911.46,7429.834633743144,155.19%,2286,5549,10.024344444274902,False (Time Limit),False
