Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C101.txt,827.3,1728.4132753574274,108.92%,10923,35780,10.029967546463013,False (Time Limit),False
C102.txt,827.3,1741.8908840291303,110.55%,9298,29068,10.050785779953003,False (Time Limit),False
C103.txt,826.3,1715.000266140139,107.55%,11142,37468,10.00902795791626,False (Time Limit),False
C104.txt,822.9,1397.8026756972627,69.86%,10783,37125,10.016452550888062,False (Time Limit),False
C105.txt,827.3,1745.1642438850995,110.95%,12950,43238,10.013863801956177,False (Time Limit),False
C106.txt,827.3,1769.880931730494,113.93%,8782,27945,10.01425552368164,False (Time Limit),False
C107.txt,827.3,1755.4456463378012,112.19%,8428,25916,10.012534141540527,False (Time Limit),False
C108.txt,827.3,1592.7639420034982,92.53%,9244,28930,10.028339147567749,False (Time Limit),False
C109.txt,827.3,1543.398324005934,86.56%,13664,46935,10.01080322265625,False (Time Limit),False
C201.txt,589.1,1483.4781682539556,151.82%,13605,48844,10.009931564331055,False (Time Limit),False
C202.txt,589.1,1670.7119988466538,183.60%,10511,36820,10.05063271522522,False (Time Limit),False
C203.txt,588.7,1599.708149659124,171.74%,9946,33724,10.02817964553833,False (Time Limit),False
C204.txt,588.1,1444.4838700423209,145.62%,7903,25220,10.013954877853394,False (Time Limit),False
C205.txt,586.4,1646.4450901959888,180.77%,8048,27274,10.021812915802002,False (Time Limit),False
C206.txt,586.0,1304.8106968368852,122.66%,13558,46532,10.014998197555542,False (Time Limit),False
C207.txt,585.8,1210.5897183518423,106.66%,11444,41699,10.022318840026855,False (Time Limit),False
C208.txt,585.8,1429.228802232729,143.98%,8495,26515,10.036486148834229,False (Time Limit),False
R101.txt,1637.7,inf,N/A,10561,37223,10.009826183319092,False (No Sol),False
R102.txt,1466.6,inf,N/A,10735,36546,10.003035545349121,False (No Sol),False
R103.txt,1208.7,inf,N/A,12309,39356,10.018051624298096,False (No Sol),False
R104.txt,971.5,1717.2380259138797,76.76%,8150,23856,10.02461862564087,False (Time Limit),False
R105.txt,1355.3,inf,N/A,11019,35980,10.001283168792725,False (No Sol),False
R106.txt,1234.6,inf,N/A,7607,22057,10.004031658172607,False (No Sol),False
R107.txt,1064.6,1934.3641574921867,81.70%,6966,19979,10.037819147109985,False (Time Limit),False
R108.txt,932.1,1747.087318602476,87.44%,7053,19334,10.036526918411255,False (Time Limit),False
R109.txt,1146.9,1990.0358244736433,73.51%,6858,19908,10.02120590209961,False (Time Limit),False
R110.txt,1068.0,1953.8382098769969,82.94%,4583,11458,10.032297611236572,False (Time Limit),False
R111.txt,1048.7,2026.0062712681058,93.19%,4458,12129,10.026534080505371,False (Time Limit),False
R112.txt,948.6,1692.7377662488777,78.45%,3632,9587,10.059846878051758,False (Time Limit),False
R201.txt,1143.2,inf,N/A,6346,19934,10.021481037139893,False (No Sol),False
R202.txt,1029.6,1995.7868379139522,93.84%,9128,27741,10.011813640594482,False (Time Limit),False
R203.txt,870.8,1760.2458897069748,102.14%,7025,20733,10.0252685546875,False (Time Limit),False
R204.txt,731.3,1433.4637529634215,96.02%,9596,31102,10.15267276763916,False (Time Limit),False
R205.txt,949.8,1792.19022508818,88.69%,9604,30063,10.15345048904419,False (Time Limit),False
R206.txt,875.9,1680.6612283229076,91.88%,8772,27482,10.029733419418335,False (Time Limit),False
R207.txt,794.0,1584.5199933662284,99.56%,7093,21887,10.048904418945312,False (Time Limit),False
R208.txt,701.0,1339.9202530676591,91.14%,6061,19689,10.036768436431885,False (Time Limit),False
R209.txt,854.8,1655.6059888748866,93.68%,7917,23615,10.041417598724365,False (Time Limit),False
R210.txt,900.5,1866.9806743113404,107.33%,4472,12847,10.051753997802734,False (Time Limit),False
R211.txt,746.7,1501.2197304777617,101.05%,3977,11100,10.054333209991455,False (Time Limit),False
RC101.txt,1619.8,inf,N/A,6054,19079,10.018574476242065,False (No Sol),False
RC102.txt,1457.4,inf,N/A,4150,12012,10.033731460571289,False (No Sol),False
RC103.txt,1258.0,2126.824572254227,69.06%,3789,10811,10.056653499603271,False (Time Limit),False
RC104.txt,1132.3,1776.870206616999,56.93%,6869,21523,10.043190002441406,False (Time Limit),False
RC105.txt,1513.7,inf,N/A,6365,20722,10.013192653656006,False (No Sol),False
RC106.txt,1372.7,2376.5839088991215,73.13%,6166,19682,10.03091835975647,False (Time Limit),False
RC107.txt,1207.8,2143.8462040846694,77.50%,7229,22968,10.030618906021118,False (Time Limit),False
RC108.txt,1114.2,1984.4712718441658,78.11%,6378,21821,10.040042400360107,False (Time Limit),False
RC201.txt,1261.8,2462.2739071879205,95.14%,7140,23358,10.030781030654907,False (Time Limit),False
RC202.txt,1092.3,2272.2100121647272,108.02%,8577,27674,10.025582790374756,False (Time Limit),False
RC203.txt,923.7,1950.21718417392,111.13%,7869,24420,10.019424438476562,False (Time Limit),False
RC204.txt,783.5,1505.1433065682077,92.11%,6197,21597,10.025429964065552,False (Time Limit),False
RC205.txt,1154.0,2389.115938714596,107.03%,7565,24868,10.028726816177368,False (Time Limit),False
RC206.txt,1051.1,2108.465333493056,100.60%,7187,23632,10.046008348464966,False (Time Limit),False
RC207.txt,962.9,1863.9252467974457,93.57%,8163,28081,10.06277585029602,False (Time Limit),False
RC208.txt,776.1,1573.3894073055496,102.73%,8244,27354,10.02896523475647,False (Time Limit),False
