Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C104.txt,822.9,1397.8026756972629,69.86%,10783,37125,10.016452550888062,False (Time Limit),False
C201.txt,589.1,1483.4781682539556,151.82%,13605,48844,10.009931564331056,False (Time Limit),False
R104.txt,971.5,1717.2380259138797,76.76%,8150,23856,10.02461862564087,False (Time Limit),False
R203.txt,870.8,1760.2458897069748,102.14%,7025,20733,10.0252685546875,False (Time Limit),False
RC104.txt,1132.3,1776.870206616999,56.93%,6869,21523,10.043190002441406,False (Time Limit),False
C1_2_10.TXT,2643.51,6667.414496086404,152.22%,3151,8236,10.090187549591064,False (Time Limit),False
C2_2_10.TXT,1806.58,5455.235510437234,201.96%,3257,8974,10.033801078796388,False (Time Limit),False
R1_2_10.TXT,3301.18,7594.405181883289,130.05%,2950,7433,10.0191752910614,False (Time Limit),False
R2_2_10.TXT,2654.97,7238.458946841814,172.64%,3319,8965,10.059228897094728,False (Time Limit),False
RC2_2_10.TXT,2015.6,5754.7715003469,185.51%,3315,8979,10.02755045890808,False (Time Limit),False
