Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C104.txt,822.9,1250.8281479201182,52.00%,1945405,10098458,1800.071260690689,False (Time Limit),False
C201.txt,589.1,1058.1395589647475,79.62%,2063258,11694975,1800.1306552886963,False (Time Limit),False
R104.txt,971.5,1378.715554826485,41.92%,2108119,11730145,1800.1059250831604,False (Time Limit),False
R203.txt,870.8,1357.8773058834875,55.93%,2018350,11090990,1800.1129829883575,False (Time Limit),False
RC104.txt,1132.3,1579.812587569594,39.52%,1983120,10605761,1800.0862913131714,False (Time Limit),False
C1_2_10.TXT,2643.51,4134.047653439571,56.38%,552303,3142544,1800.0514636039734,False (Time Limit),False
C2_2_10.TXT,1806.58,3127.9463256931604,73.14%,565239,3399672,1800.079148054123,False (Time Limit),False
R1_2_10.TXT,3301.18,4968.727702117405,50.51%,612393,3555678,1800.042381286621,False (Time Limit),False
R2_2_10.TXT,2654.97,3996.3607455315264,50.52%,762180,4742561,1800.0347909927368,False (Time Limit),False
RC2_2_10.TXT,2015.6,3164.3868860008442,56.99%,744101,4807196,1800.0330891609192,False (Time Limit),False
