Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
C104.txt,1402.8201472843791,FALSE,1624,4585,14.74980640411377,8.819,8.485015999765892,"['h_1tree', 'h_eigen', 'MULTIPLY']"
C201.txt,1832.135306595951,FALSE,2057,5347,14.318987607955933,8.5132,8.086616399814375,"[8.45, 'h_degree_average', 'ADD']"
R104.txt,1669.4353621835603,FALSE,3459,9259,15.17180323600769,7.955,7.362861799920211,['h_assignment']
R203.txt,1763.0533628373398,FALSE,3406,10210,14.287049293518066,7.9549,7.3569314,"[0.89, 'h_assignment', 'MULTIPLY']"
RC104.txt,1872.8751435391548,FALSE,3456,9915,14.44724440574646,7.9228,7.317221500168671,['h_flow']
C1_2_10.TXT,6914.546762412575,FALSE,580,1201,47.86159586906433,8.7924,8.508569398720283,"[1.02, 'h_global_min_flow', 'MULTIPLY']"
C2_2_10.TXT,5679.843856,FALSE,799,1884,47.14986991882324,8.3687,8.002196400557295,"[9.49, 'h_assignment', 'MULTIPLY']"
R1_2_10.TXT,7557.129508570271,FALSE,755,1474,47.38368272781372,8.4345,8.082621700479649,['h_mst']
R2_2_10.TXT,7694.1373494833715,FALSE,509,1146,46.51338267326355,9.026,8.795704101212323,"['h_assignment', 'h_1tree', 'MULTIPLY']"
RC2_2_10.TXT,6034.158365766768,FALSE,724,1546,49.02729630470276,8.4376,8.082922400491952,"[6.37, 'h_mst', 'MULTIPLY']"
