Instance,Total_Time_(s),Best_Fitness,Best_Chromosome,Log_File
C104.txt,2698.56,0.704727363,"['h_1tree', 'h_eigen', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\C104_log.txt
C201.txt,2526.21,2.110058236,"[8.45, 'h_degree_average', 'ADD']",CVRPTW_EA_Batch_Logs\C201_log.txt
R104.txt,2499.45,0.718410049,['h_assignment'],CVRPTW_EA_Batch_Logs\R104_log.txt
R203.txt,2495.39,1.024636384,"[0.89, 'h_assignment', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\R203_log.txt
RC104.txt,2728.94,0.654044991,['h_flow'],CVRPTW_EA_Batch_Logs\RC104_log.txt
C1_2_10.TXT,11289.91,1.61566885,"[1.02, 'h_global_min_flow', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\C1_2_10_log.txt
C2_2_10.TXT,10076.88,2.14397583,"[9.49, 'h_assignment', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\C2_2_10_log.txt
R1_2_10.TXT,10868.65,1.289220675,['h_mst'],CVRPTW_EA_Batch_Logs\R1_2_10_log.txt
R2_2_10.TXT,13763.46,1.898012915,"['h_assignment', 'h_1tree', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\R2_2_10_log.txt
RC2_2_10.TXT,13572.97,1.993728104,"[6.37, 'h_mst', 'MULTIPLY']",CVRPTW_EA_Batch_Logs\RC2_2_10_log.txt
