Instance,Best Known Solution,My Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal
abz5,1234.0,1401.0,13.53%,34973,71014,10.00846815109253,False (Time Limit)
abz6,943.0,1049.0,11.24%,36365,69651,10.011801958084106,False (Time Limit)
abz7,656.0,Skipped,N/A,0,0,0.0,False (Size Limit)
abz8,645.0,Skipped,N/A,0,0,0.0,False (Size Limit)
abz9,661.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ft06,55.0,55.0,0.00%,80782,108939,10.0071542263031,False (Time Limit)
ft10,930.0,1165.0,25.27%,34695,71337,10.015886068344116,False (Time Limit)
ft20,1165.0,1503.0,29.01%,24706,41034,10.007146835327148,False (Time Limit)
la01,666.0,718.0,7.81%,69546,88471,10.006826400756836,False (Time Limit)
la02,655.0,744.0,13.59%,62636,87335,10.006947040557861,False (Time Limit)
la03,597.0,651.0,9.05%,65972,84192,10.007386207580566,False (Time Limit)
la04,590.0,646.0,9.49%,63462,91010,10.005874156951904,False (Time Limit)
la05,593.0,593.0,0.00%,41894,46307,5.793556213378906,True
la06,926.0,967.0,4.43%,40983,51694,10.008211851119995,False (Time Limit)
la07,890.0,978.0,9.89%,36540,49562,10.006498336791992,False (Time Limit)
la08,863.0,973.0,12.75%,39126,53485,10.00788950920105,False (Time Limit)
la09,951.0,968.0,1.79%,39712,45632,10.006436109542847,False (Time Limit)
la10,958.0,1002.0,4.59%,41322,51093,10.006989002227783,False (Time Limit)
la11,1222.0,1330.0,8.84%,27051,38347,10.005265712738037,False (Time Limit)
la12,1039.0,1091.0,5.00%,26730,38301,10.0086989402771,False (Time Limit)
la13,1150.0,1233.0,7.22%,27255,35378,10.005388021469116,False (Time Limit)
la14,1292.0,1354.0,4.80%,26143,33045,10.006351470947266,False (Time Limit)
la15,1207.0,1375.0,13.92%,24734,37277,10.006386995315552,False (Time Limit)
la16,945.0,1109.0,17.35%,35664,69744,10.011187076568604,False (Time Limit)
la17,784.0,925.0,17.98%,37214,62159,10.013006687164307,False (Time Limit)
la18,848.0,948.0,11.79%,36008,73417,10.017419815063477,False (Time Limit)
la19,842.0,1012.0,20.19%,37130,67955,10.007387638092041,False (Time Limit)
la20,902.0,1087.0,20.51%,36232,60198,10.010037660598755,False (Time Limit)
la21,1046.0,1347.0,28.78%,19711,41631,10.014506578445435,False (Time Limit)
