Instance,Best Known Solution,My Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal
abz5,1234.0,1401.0,13.53%,34642,69975,10.0155611038208,False (Time Limit)
abz6,943.0,1049.0,11.24%,35970,69041,10.01345705986023,False (Time Limit)
abz7,656.0,949.0,44.66%,8094,21042,10.039863348007202,False (Time Limit)
abz8,645.0,962.0,49.15%,8040,21487,10.04904580116272,False (Time Limit)
abz9,661.0,945.0,42.97%,8011,20399,10.048053741455078,False (Time Limit)
ft06,55.0,55.0,0.00%,78665,106027,10.008181810379028,False (Time Limit)
ft10,930.0,1165.0,25.27%,34447,70855,10.009260416030884,False (Time Limit)
ft20,1165.0,1503.0,29.01%,24152,40504,10.00620722770691,False (Time Limit)
la01,666.0,718.0,7.81%,67135,86000,9.99544358253479,False (Time Limit)
la02,655.0,744.0,13.59%,62347,87335,10.006898880004883,False (Time Limit)
la03,597.0,651.0,9.05%,55875,73689,9.994246482849121,False (Time Limit)
la04,590.0,646.0,9.49%,58970,83954,10.013496160507202,False (Time Limit)
la05,593.0,593.0,0.00%,41894,46307,5.88957142829895,True
la06,926.0,967.0,4.43%,36889,47402,10.019097328186035,False (Time Limit)
la07,890.0,978.0,9.89%,25978,36244,10.011832237243652,False (Time Limit)
la08,863.0,1000.0,15.87%,27784,40269,10.011435270309448,False (Time Limit)
la09,951.0,968.0,1.79%,38891,44639,10.007655143737793,False (Time Limit)
la10,958.0,1002.0,4.59%,41671,51638,9.999853610992432,False (Time Limit)
la11,1222.0,1330.0,8.84%,26123,37272,10.00350022315979,False (Time Limit)
la12,1039.0,1165.0,12.13%,21978,31311,9.999016761779785,False (Time Limit)
la13,1150.0,1233.0,7.22%,26472,34290,10.004355430603027,False (Time Limit)
la14,1292.0,1354.0,4.80%,25233,31947,10.009738206863403,False (Time Limit)
la15,1207.0,1422.0,17.81%,20615,31895,10.006495952606201,False (Time Limit)
la16,945.0,1109.0,17.35%,33796,66001,10.024158954620361,False (Time Limit)
la17,784.0,925.0,17.98%,35181,58050,10.009784936904907,False (Time Limit)
la18,848.0,948.0,11.79%,33251,67317,10.018786668777466,False (Time Limit)
la19,842.0,1012.0,20.19%,34013,60544,10.029622077941895,False (Time Limit)
la20,902.0,1087.0,20.51%,32300,52203,10.027374505996704,False (Time Limit)
la21,1046.0,1347.0,28.78%,18867,40491,10.017021417617798,False (Time Limit)
la22,927.0,1326.0,43.04%,18273,32907,10.015238523483276,False (Time Limit)
la23,1032.0,1427.0,38.28%,19423,38767,10.014381408691406,False (Time Limit)
la24,935.0,1293.0,38.29%,19211,38875,10.01977801322937,False (Time Limit)
la25,977.0,1194.0,22.21%,19196,37619,10.021791458129883,False (Time Limit)
la26,1218.0,1624.0,33.33%,12309,25901,10.011297225952148,False (Time Limit)
la27,1235.0,1584.0,28.26%,12103,25312,10.020963430404663,False (Time Limit)
la28,1216.0,1564.0,28.62%,12400,27391,10.019426107406616,False (Time Limit)
la29,1152.0,1636.0,42.01%,13196,31090,10.009835481643677,False (Time Limit)
la30,1355.0,1859.0,37.20%,11956,24237,10.016803979873657,False (Time Limit)
la31,1784.0,2209.0,23.82%,5057,12739,10.043230772018433,False (Time Limit)
la32,1850.0,2385.0,28.92%,5487,13596,10.029932498931885,False (Time Limit)
la33,1719.0,2241.0,30.37%,5808,14024,10.032129526138306,False (Time Limit)
la34,1721.0,2251.0,30.80%,5643,13810,10.035109043121338,False (Time Limit)
la35,1888.0,2732.0,44.70%,5603,13102,10.023943662643433,False (Time Limit)
la36,1268.0,1727.0,36.20%,12342,29055,10.04512333869934,False (Time Limit)
la37,1397.0,1855.0,32.78%,11982,28512,10.026092290878296,False (Time Limit)
la38,1196.0,1650.0,37.96%,11842,29086,10.034770488739014,False (Time Limit)
la39,1233.0,1734.0,40.63%,12232,28917,10.039031744003296,False (Time Limit)
la40,1222.0,1740.0,42.39%,11908,27681,10.042542934417725,False (Time Limit)
orb01,1059.0,1339.0,26.44%,35291,72093,10.014123439788818,False (Time Limit)
orb02,888.0,1093.0,23.09%,35985,68940,10.007164716720581,False (Time Limit)
orb03,1005.0,1291.0,28.46%,34965,67289,10.016596794128418,False (Time Limit)
orb04,1005.0,1224.0,21.79%,34071,69618,10.021872282028198,False (Time Limit)
orb05,887.0,1034.0,16.57%,34117,67884,10.009352684020996,False (Time Limit)
orb06,1010.0,1321.0,30.79%,34908,71698,10.004249572753906,False (Time Limit)
orb07,397.0,481.0,21.16%,31405,61867,10.028167724609375,False (Time Limit)
orb08,899.0,1223.0,36.04%,33609,65867,10.025859594345093,False (Time Limit)
orb09,934.0,1089.0,16.60%,33929,66425,10.015827417373657,False (Time Limit)
orb10,944.0,1109.0,17.48%,34966,75257,10.015586853027344,False (Time Limit)
swv01,1407.0,2058.0,46.27%,11741,24822,10.020377159118652,False (Time Limit)
swv02,1475.0,2094.0,41.97%,11946,24345,10.018788576126099,False (Time Limit)
swv03,1369.0,1902.0,38.93%,13154,25688,10.0363609790802,False (Time Limit)
swv04,1450.0,2111.0,45.59%,12184,26184,10.017306327819824,False (Time Limit)
swv05,1424.0,1966.0,38.06%,13151,26849,10.034965753555298,False (Time Limit)
swv06,1591.0,2673.0,68.01%,6995,17487,10.04239821434021,False (Time Limit)
swv07,1446.0,2395.0,65.63%,7313,18958,10.049066066741943,False (Time Limit)
swv08,1640.0,2844.0,73.41%,7763,20062,10.041665077209473,False (Time Limit)
swv09,1604.0,2720.0,69.58%,7461,18632,10.056488275527954,False (Time Limit)
swv10,1631.0,2498.0,53.16%,8028,21094,10.052206039428711,False (Time Limit)
swv11,2983.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv12,2972.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv13,3104.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv14,2968.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv15,2885.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv16,2924.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv17,2794.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv18,2852.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv19,2843.0,Skipped,N/A,0,0,0.0,False (Size Limit)
swv20,2823.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta01,1231.0,1947.0,58.16%,11930,28223,10.043487310409546,False (Time Limit)
ta02,1244.0,1752.0,40.84%,12189,29539,10.03029203414917,False (Time Limit)
ta03,1218.0,1651.0,35.55%,11437,27520,10.037381887435913,False (Time Limit)
ta04,1175.0,1633.0,38.98%,10188,23846,10.046346187591553,False (Time Limit)
ta05,1224.0,1687.0,37.83%,11301,27530,10.019830465316772,False (Time Limit)
ta06,1238.0,1741.0,40.63%,10946,26637,10.046366214752197,False (Time Limit)
ta07,1227.0,1868.0,52.24%,12365,28544,10.049399137496948,False (Time Limit)
ta08,1217.0,1730.0,42.15%,12285,30494,10.020216703414917,False (Time Limit)
ta09,1274.0,1853.0,45.45%,11987,30005,10.04669189453125,False (Time Limit)
ta10,1241.0,1650.0,32.96%,11954,28942,10.018490314483643,False (Time Limit)
ta11,1323.0,2093.0,58.20%,7409,19752,10.04791808128357,False (Time Limit)
ta12,1351.0,2084.0,54.26%,6719,17151,10.037919521331787,False (Time Limit)
ta13,1282.0,2010.0,56.79%,7115,19089,10.061279296875,False (Time Limit)
ta14,1345.0,1872.0,39.18%,7174,19452,10.051190853118896,False (Time Limit)
ta15,1304.0,2118.0,62.42%,7401,19283,10.05711817741394,False (Time Limit)
ta16,1302.0,1961.0,50.61%,7212,18924,10.04792070388794,False (Time Limit)
ta17,1462.0,2219.0,51.78%,6912,18338,10.058822393417358,False (Time Limit)
ta18,1369.0,1999.0,46.02%,7819,20464,10.04599666595459,False (Time Limit)
ta19,1297.0,2112.0,62.84%,8158,21580,10.055403232574463,False (Time Limit)
ta20,1318.0,2084.0,58.12%,8143,21728,10.051611185073853,False (Time Limit)
ta21,1539.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta22,1511.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta23,1472.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta24,1602.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta25,1504.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta26,1539.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta27,1616.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta28,1591.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta29,1514.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta30,1473.0,Skipped,N/A,0,0,0.0,False (Size Limit)
ta31,1764.0,Skipped,N/A,0,0,0.0,False (Size Limit)
