Instance,Best Known Cost,Cost,Gap to BKC,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
abz5,1234.0,1401.0,13.53%,26932,52186,10.010625839233398,False (Time Limit),False
abz6,943.0,1049.0,11.24%,29114,54089,10.016616582870483,False (Time Limit),False
abz7,656.0,949.0,44.66%,6834,17391,10.04851245880127,False (Time Limit),False
abz8,645.0,962.0,49.15%,4853,12514,10.074423789978027,False (Time Limit),False
abz9,661.0,945.0,42.97%,5179,12513,10.041863441467285,False (Time Limit),False
ft06,55.0,55.0,0.00%,52379,71793,10.005810260772705,False (Time Limit),False
ft10,930.0,1165.0,25.27%,22826,46071,10.02776288986206,False (Time Limit),False
ft20,1165.0,1533.0,31.59%,15966,26190,10.020251274108887,False (Time Limit),False
la01,666.0,718.0,7.81%,50441,65615,10.015824556350708,False (Time Limit),False
la02,655.0,744.0,13.59%,38894,54262,10.016769886016846,False (Time Limit),False
la03,597.0,651.0,9.05%,40061,54336,10.005030155181885,False (Time Limit),False
la04,590.0,646.0,9.49%,42006,57385,10.000110387802124,False (Time Limit),False
la05,593.0,593.0,0.00%,41894,46307,9.553091764450073,True,False
la06,926.0,967.0,4.43%,38429,48972,10.01140570640564,False (Time Limit),False
la07,890.0,978.0,9.89%,23512,33152,10.006654500961304,False (Time Limit),False
la08,863.0,1000.0,15.87%,22918,32088,10.003415822982788,False (Time Limit),False
la09,951.0,968.0,1.79%,37501,43088,10.00574016571045,False (Time Limit),False
la10,958.0,1002.0,4.59%,25227,32372,10.002489566802979,False (Time Limit),False
la11,1222.0,1370.0,12.11%,16226,23722,10.003557682037354,False (Time Limit),False
la12,1039.0,1165.0,12.13%,17055,23008,10.025700807571411,False (Time Limit),False
la13,1150.0,1233.0,7.22%,21839,28760,10.042662620544434,False (Time Limit),False
la14,1292.0,1354.0,4.80%,14518,19817,10.029887199401855,False (Time Limit),False
la15,1207.0,1422.0,17.81%,14568,20831,10.010921239852905,False (Time Limit),False
la16,945.0,1109.0,17.35%,22511,45235,10.011364459991455,False (Time Limit),False
la17,784.0,925.0,17.98%,29778,49958,10.027356624603271,False (Time Limit),False
la18,848.0,948.0,11.79%,31015,61421,10.038229942321777,False (Time Limit),False
la19,842.0,1036.0,23.04%,20100,38104,10.04312539100647,False (Time Limit),False
la20,902.0,1087.0,20.51%,23368,40615,10.015367031097412,False (Time Limit),False
la21,1046.0,1347.0,28.78%,12033,27211,10.011614322662354,False (Time Limit),False
la22,927.0,1326.0,43.04%,11193,22642,10.043723344802856,False (Time Limit),False
la23,1032.0,1427.0,38.28%,18765,38100,10.062353134155273,False (Time Limit),False
la24,935.0,1293.0,38.29%,12540,27364,10.01693868637085,False (Time Limit),False
la25,977.0,1194.0,22.21%,12388,24824,10.017289638519287,False (Time Limit),False
la26,1218.0,1624.0,33.33%,7775,17091,10.020834684371948,False (Time Limit),False
la27,1235.0,1584.0,28.26%,8095,16872,10.029444217681885,False (Time Limit),False
la28,1216.0,1646.0,35.36%,7886,17208,10.017275094985962,False (Time Limit),False
la29,1152.0,1728.0,50.00%,7918,18574,10.02060604095459,False (Time Limit),False
la30,1355.0,1859.0,37.20%,7685,16224,10.03226375579834,False (Time Limit),False
la31,1784.0,2597.0,45.57%,4074,11139,10.028903484344482,False (Time Limit),False
la32,1850.0,2385.0,28.92%,5544,13728,10.07181191444397,False (Time Limit),False
la33,1719.0,2241.0,30.37%,5807,14024,10.03235673904419,False (Time Limit),False
la34,1721.0,2251.0,30.80%,4487,11682,10.062867641448975,False (Time Limit),False
la35,1888.0,2732.0,44.70%,4570,11365,10.053474426269531,False (Time Limit),False
la36,1268.0,1727.0,36.20%,9052,20377,10.070262670516968,False (Time Limit),False
la37,1397.0,1855.0,32.78%,7979,18011,10.024060249328613,False (Time Limit),False
la38,1196.0,1650.0,37.96%,9699,23196,10.055064916610718,False (Time Limit),False
la39,1233.0,1734.0,40.63%,7851,17574,10.092328548431396,False (Time Limit),False
la40,1222.0,1740.0,42.39%,8084,17824,10.036605834960938,False (Time Limit),False
orb01,1059.0,1339.0,26.44%,27466,52738,10.030301332473755,False (Time Limit),False
orb02,888.0,1093.0,23.09%,32246,60759,10.043734788894653,False (Time Limit),False
orb03,1005.0,1291.0,28.46%,21455,41937,10.01018214225769,False (Time Limit),False
orb04,1005.0,1248.0,24.18%,23164,46945,10.028237342834473,False (Time Limit),False
orb05,887.0,1034.0,16.57%,24110,47649,10.030963659286499,False (Time Limit),False
orb06,1010.0,1321.0,30.79%,21558,46512,10.0198073387146,False (Time Limit),False
orb07,397.0,486.0,22.42%,22545,44905,10.012389898300171,False (Time Limit),False
orb08,899.0,1223.0,36.04%,21847,42489,10.00727653503418,False (Time Limit),False
orb09,934.0,1089.0,16.60%,30466,58050,10.015793800354004,False (Time Limit),False
orb10,944.0,1109.0,17.48%,30380,63495,10.029415369033813,False (Time Limit),False
swv01,1407.0,2058.0,46.27%,7510,16616,10.021551370620728,False (Time Limit),False
swv02,1475.0,2094.0,41.97%,11020,22644,10.02299189567566,False (Time Limit),False
swv03,1369.0,1902.0,38.93%,8016,16009,10.026062488555908,False (Time Limit),False
swv04,1450.0,2111.0,45.59%,7664,17189,10.014880180358887,False (Time Limit),False
swv05,1424.0,2033.0,42.77%,10654,22892,10.043426036834717,False (Time Limit),False
swv06,1591.0,2673.0,68.01%,5382,13549,10.0403470993042,False (Time Limit),False
swv07,1446.0,2395.0,65.63%,7567,19564,10.041080951690674,False (Time Limit),False
swv08,1640.0,2844.0,73.41%,5517,13596,10.079227209091187,False (Time Limit),False
swv09,1604.0,2720.0,69.58%,5551,13095,10.072665929794312,False (Time Limit),False
swv10,1631.0,2498.0,53.16%,5297,13025,10.097376108169556,False (Time Limit),False
swv11,2983.0,4189.0,40.43%,1964,6193,10.134223937988281,False (Time Limit),False
swv12,2972.0,4598.0,54.71%,1642,5479,10.064440965652466,False (Time Limit),False
swv13,3104.0,4999.0,61.05%,2310,7272,10.038859605789185,False (Time Limit),False
swv14,2968.0,4275.0,44.04%,1639,4856,10.049165725708008,False (Time Limit),False
swv15,2885.0,4194.0,45.37%,2248,6885,10.105913162231445,False (Time Limit),False
swv16,2924.0,3499.0,19.66%,2265,7441,10.048780679702759,False (Time Limit),False
swv17,2794.0,3521.0,26.02%,2268,7686,10.043572425842285,False (Time Limit),False
swv18,2852.0,3401.0,19.25%,1667,5683,10.050520658493042,False (Time Limit),False
swv19,2843.0,3478.0,22.34%,2158,7026,10.045784711837769,False (Time Limit),False
swv20,2823.0,3478.0,23.20%,1659,5510,10.120862483978271,False (Time Limit),False
ta01,1231.0,1947.0,58.16%,8839,19834,10.056679487228394,False (Time Limit),False
ta02,1244.0,1752.0,40.84%,8409,19375,10.027318239212036,False (Time Limit),False
ta03,1218.0,1651.0,35.55%,8417,18904,10.01853060722351,False (Time Limit),False
ta04,1175.0,1633.0,38.98%,8418,19236,10.029237270355225,False (Time Limit),False
ta05,1224.0,1687.0,37.83%,12257,29940,10.023065328598022,False (Time Limit),False
ta06,1238.0,1741.0,40.63%,8490,20141,10.028752326965332,False (Time Limit),False
ta07,1227.0,1868.0,52.24%,12346,28482,10.05730652809143,False (Time Limit),False
ta08,1217.0,1730.0,42.15%,12393,30749,10.028764486312866,False (Time Limit),False
ta09,1274.0,1853.0,45.45%,8568,20526,10.030938625335693,False (Time Limit),False
ta10,1241.0,1650.0,32.96%,11292,27144,10.053281307220459,False (Time Limit),False
ta11,1323.0,2093.0,58.20%,5404,13887,10.040852069854736,False (Time Limit),False
ta12,1351.0,2084.0,54.26%,7507,19198,10.03317666053772,False (Time Limit),False
ta13,1282.0,2010.0,56.79%,5302,13339,10.051486253738403,False (Time Limit),False
