Instance,Best Known Cost,Cost,Gap to BKC,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
abz5.txt,1234.0,1288.0,4.38%,3124386,6607518,1800.123407125473,False (Time Limit),False
ft06.txt,55.0,55.0,0.00%,1081177,1151448,331.0009067058563,True,False
ft10.txt,930.0,1045.0,12.37%,3095166,5958305,1800.155808210373,False (Time Limit),False
la07.txt,890.0,890.0,0.00%,4627423,5295140,1800.2423512935638,False (Time Limit),False
la21.txt,1046.0,1290.0,23.33%,2172833,4326961,1800.0736436843872,False (Time Limit),False
la26.txt,1218.0,1529.0,25.53%,1445626,2711659,1800.0673146247864,False (Time Limit),False
ta01.txt,1231.0,1656.0,34.52%,1822030,3557100,1800.0969352722168,False (Time Limit),False
ft20.txt,1165.0,1461.0,25.41%,2163124,3060753,1800.0443844795227,False (Time Limit),False
ta20.txt,1318.0,1745.0,32.40%,1189311,2570196,1800.0766687393188,False (Time Limit),False
ta41.txt,1859.0,3048.0,63.96%,413972,1081906,1800.1821584701538,False (Time Limit),False
