Instance,Total Times (s),Bridging Total Time (Dual bound calculation time + Switching time) (s),Dual Bound Calculation Time (s),Dual Bound Chromosome
ft06.txt,"1,803.84","1,664.89","1,642.37",['h_job_based']
ft10.txt,"1,802.30","1,713.24","1,699.90","['h_1mach_preemptive', 4.61, 'h_job_based', 'MULTIPLY', 'PDIV']"
abz5.txt,"1,860.68","1,254.04","1,166.23","['h_1mach_preemptive', 'h_1mach_non_preemptive', 5.84, 'h_simplified_shifting_bottleneck', 'MULTIPLY', 'MAX', 8.5, 'h_job_based', 'MULTIPLY', 'h_machine_based', 'h_lp_relaxation', 'MAX', 'MAX', 'PDIV', 'MAX']"
la07.txt,"1,879.91","1,237.70","1,131.17","[0.08, 'h_simplified_shifting_bottleneck', 'MULTIPLY']"
la21.txt,"1,802.18","1,716.77","1,704.12",['h_job_based']
la26.txt,"1,885.67","1,292.97","1,227.91",['h_1mach_preemptive']
ta01.txt,"1,801.89","1,731.21","1,722.41","[7.55, 'h_job_based', 'MULTIPLY', 'h_job_based', 'PDIV']"
ta41.txt,"1,803.21","1,731.06","1,723.96","[1.88, 'h_job_based', 'MULTIPLY']"
ft20.txt,"1,871.65","1,250.66","1,154.00",['h_1mach_preemptive']
ta20.txt,"1,897.38","1,317.40","1,268.28",['h_simplified_shifting_bottleneck']
Average,"1,840.87","1,490.99","1,444.04",
Average (%),100%,81%,78%,
