Instance,Best_Known_Value,EA_Cost,EA_Gap,EA_Nodes,EA_Time,EA_Optimality,Single_Cost,Single_Gap,Single_Nodes,Single_Time,Single_Optimality
11.txt,574.0,574.0,0.0,190194,1805.022656917572,False,574.0,0.0,7004591,1802.454427719116,False (Time Limit)
14.txt,575.0,575.0,0.0,190766,1806.52568936348,False,587.0,-0.020869565217391306,7261786,1800.4468240737915,False (Time Limit)
22.txt,599.0,599.0,0.0,219414,1805.85642528534,False,652.0,-0.08848080133555926,7281788,1801.0855786800385,False (Time Limit)
31.txt,538.0,538.0,0.0,234090,1805.652421951294,False,557.0,-0.03531598513011153,7709655,1801.326842069626,False (Time Limit)
33.txt,624.0,624.0,0.0,592484,1815.8040401935573,False,679.0,-0.08814102564102565,7967678,1801.018515586853,False (Time Limit)
39.txt,527.0,527.0,0.0,219092,1806.9381353855133,False,527.0,0.0,8682586,1800.775704622269,False (Time Limit)
4.txt,602.0,602.0,0.0,222610,1810.2552711963651,False,657.0,-0.09136212624584718,7250502,1801.0951602458954,False (Time Limit)
46.txt,576.0,576.0,0.0,246020,1806.6627023220065,False,592.0,-0.027777777777777776,7027545,1801.498275756836,False (Time Limit)
48.txt,550.0,550.0,0.0,214684,1805.18168926239,False,584.0,-0.06181818181818182,7103117,1801.3498933315277,False (Time Limit)
50.txt,577.0,577.0,0.0,199588,1804.762506723404,False,597.0,-0.03466204506065858,7449154,1802.103266954422,False (Time Limit)
52.txt,607.0,607.0,0.0,266918,1806.3505165576933,False,634.0,-0.044481054365733116,6267422,1804.5125465393064,False (Time Limit)
53.txt,555.0,555.0,0.0,204711,1804.790068626404,False,571.0,-0.02882882882882883,7238958,1801.9486174583435,False (Time Limit)
54.txt,552.0,552.0,0.0,412999,1814.8116555213928,False,553.0,-0.0018115942028985507,7554678,1800.4314303398132,False (Time Limit)
59.txt,537.0,537.0,0.0,228617,1806.703148841858,False,537.0,0.0,7580371,1801.1314346790314,False (Time Limit)
61.txt,600.0,600.0,0.0,227254,1849.2814288139343,False,633.0,-0.055,7434889,1801.3186297416687,False (Time Limit)
75.txt,550.0,550.0,0.0,291861,1808.989155292511,False,550.0,0.0,7627007,1801.4113547801971,False (Time Limit)
78.txt,551.0,551.0,0.0,219278,1805.668967485428,False,609.0,-0.10526315789473684,7256800,1801.0977585315704,False (Time Limit)
79.txt,612.0,612.0,0.0,267453,1806.7044186592104,False,632.0,-0.032679738562091505,7343640,1801.028921842575,False (Time Limit)
87.txt,588.0,588.0,0.0,230669,1810.090015411377,False,625.0,-0.06292517006802721,7267136,1801.4600868225095,False (Time Limit)
89.txt,529.0,529.0,0.0,242319,1805.826964378357,False,550.0,-0.03969754253308128,7535998,1800.6029679775238,False (Time Limit)
