Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
0.txt,1416,TRUE,25781,31223,12.16976714,5.5112,4.889458895,['h_global_min_flow']
10.txt,1541,TRUE,9544,11223,3.703062773,1.5055,1.3253315,['h_assignment']
12.txt,1551,TRUE,37233,41281,13.65068889,6.3212,5.582777303,"[7.23, 'h_degree_average', 'MULTIPLY']"
14.txt,1723,TRUE,10290,11920,3.401789904,1.5118,1.348471501,['h_eigen']
27.txt,1502,TRUE,18129,20602,10.1445868,5.6057,5.244558701,"['h_global_min_flow', 7.43, 'h_degree_average', 'MULTIPLY', 'SUBTRACT']"
29.txt,1584,TRUE,12062,13909,7.57433939,3.5115,3.1388678,"[9.87, 'h_1tree', 'MULTIPLY']"
3.txt,1628,TRUE,12468,14411,5.166219473,2.3348,2.076958499,"[9.07, 'h_degree_average', 'MULTIPLY']"
31.txt,1494,TRUE,12173,14178,9.343050003,6.72,6.475050799,"['h_eigen', 'h_assignment', 'SUBTRACT', 'h_1tree', 'h_1tree', 'PDIV', 'MAX']"
46.txt,1667,TRUE,13372,15464,5.93152523,2.6179,2.357297001,['h_1tree']
48.txt,1495,TRUE,23169,27774,6.393164873,3.1442,2.7891837,['h_1tree']
51.txt,1311,TRUE,85065,97778,29.1561904,14.3567,12.39305471,"[1.43, 'h_degree_average', 'MULTIPLY']"
52.txt,1716,TRUE,8275,9479,2.232956171,0.9185,0.808280499,"[7.57, 'h_assignment', 'MULTIPLY']"
56.txt,1641,TRUE,26691,30980,9.930798531,4.2142,3.744779102,['h_assignment']
59.txt,1418,TRUE,63096,75524,24.49589276,11.8374,10.21268319,['h_1tree']
64.txt,1798,TRUE,13820,15992,4.658459902,2.0225,1.794170701,"[3.43, 'h_eigen', 'MULTIPLY']"
72.txt,1718,TRUE,28568,33213,9.744071245,4.688,4.133163901,['h_mst']
75.txt,1593,TRUE,14576,16220,3.958506584,1.6607,1.4533703,['h_assignment']
80.txt,1769,TRUE,12226,13770,6.774430275,2.7812,2.452070099,['h_global_min_flow']
84.txt,1440,TRUE,15549,17933,5.638937473,2.6087,2.323281001,"[8.89, 'h_mst', 'MULTIPLY']"
85.txt,1664,TRUE,16751,19164,8.506328106,4.809,4.499106601,"[6.02, 'h_1tree', 'MULTIPLY', 'h_assignment', 'MAX']"
