Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s)
1.txt,390,FALSE,3069154,5093271,1908.576952,1320.4602,1164.973797
12.txt,399,FALSE,3117551,6149198,1911.529572,1271.3586,1111.343909
18.txt,384,FALSE,4026838,8323522,1898.472848,1273.9733,1093.782353
19.txt,400,FALSE,3393691,7111261,1858.284565,1378.7864,1236.573647
21.txt,367,FALSE,456264,1226039,1803.762184,1696.9965,1667.231862
26.txt,389,FALSE,3180597,6518378,1888.466757,1361.6215,1219.863556
29.txt,389,FALSE,3405265,6772792,1859.760022,1363.0945,1217.791676
30.txt,393,FALSE,2007119,4604208,1837.045018,1495.5477,1398.792133
47.txt,317,FALSE,3434064,6974570,1864.338315,1365.8917,1219.5387
49.txt,360,FALSE,197344,539376,1802.18944,1713.1169,1679.721159
5.txt,424,FALSE,495832,1220170,1805.226267,1688.6748,1649.798016
53.txt,425,FALSE,4037053,8145516,1895.714601,1271.2543,1097.345669
71.txt,413,FALSE,1983234,4352350,1835.299298,1506.2639,1410.840663
84.txt,374,FALSE,251521,645696,1802.155908,1726.2525,1699.901376
85.txt,371,FALSE,3498592,7289989,1867.859545,1364.555,1216.547207
86.txt,371,FALSE,4121349,7763349,1958.335548,1244.4946,1068.229424
91.txt,365,FALSE,3875492,7884474,1890.916321,1298.7668,1133.060404
95.txt,371,FALSE,4438945,8555854,1927.071944,1262.3738,1084.117652
98.txt,356,FALSE,3194184,6733187,1867.238744,1377.5415,1236.577997
99.txt,322,FALSE,1962200,4417585,1835.072717,1522.2288,1430.59417
