Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
A-n39-k6.vrp,831,891.454298,7.27%,925492,1841.475017,FALSE,877.8464681,5.64%,5308314,1801.395959,FALSE
A-n48-k7.vrp,1073,1169.775773,9.02%,772353,1823.765894,FALSE,1150.258852,7.20%,3912608,1800.429055,FALSE
A-n55-k9.vrp,1073,1130.579772,5.37%,515481,1831.602734,FALSE,1161.872916,8.28%,3719194,1800.564329,FALSE
A-n69-k9.vrp,1159,1264.840407,9.13%,311984,1827.223124,FALSE,1289.682883,11.28%,2550765,1800.312058,FALSE
A-n80-k10.vrp,1763,2142.424717,21.52%,327908,1834.614745,FALSE,2071.894178,17.52%,2469038,1800.132793,FALSE
X-n106-k14.vrp,26362,27983.83048,6.15%,185162,1818.694971,FALSE,27865.19902,5.70%,1059926,1800.133396,FALSE
X-n162-k11.vrp,14138,16614.51565,17.52%,96048,1814.021549,FALSE,15768.49932,11.53%,667227,1800.04772,FALSE
X-n181-k23.vrp,25569,27190.28666,6.34%,93322,1817.09263,FALSE,26591.99261,4.00%,461595,1800.026105,FALSE
X-n190-k8.vrp,16980,19593.06538,15.39%,97637,1814.434077,FALSE,19553.12979,15.15%,637435,1800.011999,FALSE
X-n204-k19.vrp,19565,22399.78161,14.49%,54817,1817.435325,FALSE,22140.68202,13.16%,466922,1800.018919,FALSE
