Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
C104.txt,822.9,1402.8201472843791,70.47%,296076,1839.676528930664,False,1250.8281479201182,52.00%,1945405,1800.071260690689,False
C1_2_10.TXT,2643.51,4340.16254719478,64.18%,110139,1872.3697543144224,False,4134.047653439571,56.38%,552303,1800.0514636039734,False
C201.txt,589.1,1090.884104572378,85.18%,275040,1831.7697207927704,False,1058.1395589647475,79.62%,2063258,1800.1306552886963,False
C2_2_10.TXT,1806.58,4486.834386767905,148.36%,125801,1899.9558169841769,False,3127.9463256931604,73.14%,565239,1800.079148054123,False
R104.txt,971.5,1451.1739735062442,49.37%,458703,1875.9164505004885,False,1378.715554826485,41.92%,2108119,1800.1059250831604,False
R1_2_10.TXT,3301.18,5389.923942684272,63.27%,137982,1900.5895552635195,False,4968.727702117405,50.51%,612393,1800.042381286621,False
R203.txt,870.8,1568.7505411529262,80.15%,455847,1861.3439183235168,False,1357.8773058834877,55.93%,2018350,1800.1129829883575,False
R2_2_10.TXT,2654.97,7018.798439106892,164.36%,68186,1858.6135704517365,False,3996.3607455315264,50.52%,762180,1800.0347909927368,False
RC104.txt,1132.3,1570.0282674294283,38.66%,474418,1860.960375070572,False,1579.812587569594,39.52%,1983120,1800.0862913131714,False
RC2_2_10.TXT,2015.6,4335.248040983256,115.08%,125691,1903.807903289795,False,3164.386886000844,56.99%,744101,1800.0330891609192,False
