Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
11.txt,574.0,574.0,0.00%,190194,1805.022656917572,False,574.0,0.00%,7004591,1802.454427719116,False
14.txt,575.0,575.0,0.00%,190766,1806.52568936348,False,587.0,2.09%,7261786,1800.4468240737915,False
22.txt,599.0,599.0,0.00%,219414,1805.85642528534,False,652.0,8.85%,7281788,1801.0855786800385,False
31.txt,538.0,538.0,0.00%,234090,1805.652421951294,False,557.0,3.53%,7709655,1801.326842069626,False
33.txt,624.0,624.0,0.00%,592484,1815.8040401935573,False,679.0,8.81%,7967678,1801.018515586853,False
39.txt,527.0,527.0,0.00%,219092,1806.9381353855133,False,527.0,0.00%,8682586,1800.775704622269,False
4.txt,602.0,602.0,0.00%,222610,1810.2552711963651,False,657.0,9.14%,7250502,1801.0951602458954,False
46.txt,576.0,576.0,0.00%,246020,1806.6627023220065,False,592.0,2.78%,7027545,1801.498275756836,False
48.txt,550.0,550.0,0.00%,214684,1805.18168926239,False,584.0,6.18%,7103117,1801.3498933315277,False
50.txt,577.0,577.0,0.00%,199588,1804.762506723404,False,597.0,3.47%,7449154,1802.103266954422,False
52.txt,607.0,607.0,0.00%,266918,1806.3505165576933,False,634.0,4.45%,6267422,1804.5125465393064,False
53.txt,555.0,555.0,0.00%,204711,1804.790068626404,False,571.0,2.88%,7238958,1801.9486174583435,False
54.txt,552.0,552.0,0.00%,412999,1814.8116555213928,False,553.0,0.18%,7554678,1800.4314303398132,False
59.txt,537.0,537.0,0.00%,228617,1806.703148841858,False,537.0,0.00%,7580371,1801.1314346790314,False
61.txt,600.0,600.0,0.00%,227254,1849.2814288139343,False,633.0,5.50%,7434889,1801.3186297416687,False
75.txt,550.0,550.0,0.00%,291861,1808.989155292511,False,550.0,0.00%,7627007,1801.4113547801971,False
78.txt,551.0,551.0,0.00%,219278,1805.668967485428,False,609.0,10.53%,7256800,1801.0977585315704,False
79.txt,612.0,612.0,0.00%,267453,1806.7044186592104,False,632.0,3.27%,7343640,1801.028921842575,False
87.txt,588.0,588.0,0.00%,230669,1810.090015411377,False,625.0,6.29%,7267136,1801.4600868225095,False
89.txt,529.0,529.0,0.00%,242319,1805.826964378357,False,550.0,3.97%,7535998,1800.6029679775238,False
