Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
1.txt,833,833,0.00%,1354,0.280036449,TRUE,833,0.00%,1259,0.060280323,TRUE
17.txt,605,605,0.00%,3746,3.23438096,TRUE,605,0.00%,3536,0.19446516,TRUE
20.txt,743,743,0.00%,2123,0.617597818,TRUE,743,0.00%,2140,0.125847578,TRUE
34.txt,713,713,0.00%,4352,0.825685024,TRUE,713,0.00%,4075,0.222673178,TRUE
36.txt,739,739,0.00%,7064,1.486839771,TRUE,739,0.00%,7050,0.435307026,TRUE
39.txt,606,606,0.00%,2841,0.568188429,TRUE,606,0.00%,2475,0.148243189,TRUE
41.txt,820,820,0.00%,3514,0.615838051,TRUE,820,0.00%,3346,0.204812765,TRUE
42.txt,669,669,0.00%,4681,1.861339331,TRUE,669,0.00%,4199,0.257953405,TRUE
43.txt,574,574,0.00%,28689,14.77510214,TRUE,574,0.00%,14974,0.756474018,TRUE
48.txt,593,593,0.00%,5293,1.305530787,TRUE,593,0.00%,4994,0.275672674,TRUE
51.txt,652,652,0.00%,2669,0.706849575,TRUE,652,0.00%,2613,0.14528513,TRUE
59.txt,636,636,0.00%,11730,2.125380754,TRUE,636,0.00%,7560,0.351547241,TRUE
62.txt,761,761,0.00%,1158,1.715000868,TRUE,761,0.00%,1103,0.052779675,TRUE
68.txt,569,569,0.00%,2144,0.436689854,TRUE,569,0.00%,1340,0.072431326,TRUE
77.txt,595,595,0.00%,4289,0.791389465,TRUE,595,0.00%,3581,0.200298071,TRUE
80.txt,742,742,0.00%,2420,0.867296934,TRUE,742,0.00%,2257,0.116687059,TRUE
84.txt,592,592,0.00%,2350,0.689624071,TRUE,592,0.00%,2450,0.145632982,TRUE
88.txt,639,639,0.00%,2105,0.567334414,TRUE,639,0.00%,1985,0.089134216,TRUE
9.txt,679,679,0.00%,3815,4.004816294,TRUE,679,0.00%,3800,0.244772673,TRUE
90.txt,763,763,0.00%,535,0.157527447,TRUE,763,0.00%,516,0.027278185,TRUE
