,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
A-n39-k6.vrp, 831.00 , 891.45 ,7.27%," 925,492 "," 1,841.48 ",FALSE, 877.85 ,5.64%," 5,308,314 "," 1,801.40 ",FALSE
A-n48-k7.vrp," 1,073.00 "," 1,169.78 ",9.02%," 772,353 "," 1,823.77 ",FALSE," 1,150.26 ",7.20%," 3,912,608 "," 1,800.43 ",FALSE
A-n55-k9.vrp," 1,073.00 "," 1,130.58 ",5.37%," 515,481 "," 1,831.60 ",FALSE," 1,161.87 ",8.28%," 3,719,194 "," 1,800.56 ",FALSE
A-n69-k9.vrp," 1,159.00 "," 1,264.84 ",9.13%," 311,984 "," 1,827.22 ",FALSE," 1,289.68 ",11.28%," 2,550,765 "," 1,800.31 ",FALSE
A-n80-k10.vrp," 1,763.00 "," 2,142.42 ",21.52%," 327,908 "," 1,834.61 ",FALSE," 2,071.89 ",17.52%," 2,469,038 "," 1,800.13 ",FALSE
X-n106-k14.vrp," 26,362.00 "," 27,983.83 ",6.15%," 185,162 "," 1,818.69 ",FALSE," 27,865.20 ",5.70%," 1,059,926 "," 1,800.13 ",FALSE
X-n162-k11.vrp," 14,138.00 "," 16,614.52 ",17.52%," 96,048 "," 1,814.02 ",FALSE," 15,768.50 ",11.53%," 667,227 "," 1,800.05 ",FALSE
X-n181-k23.vrp," 25,569.00 "," 27,190.29 ",6.34%," 93,322 "," 1,817.09 ",FALSE," 26,591.99 ",4.00%," 461,595 "," 1,800.03 ",FALSE
X-n190-k8.vrp," 16,980.00 "," 19,593.07 ",15.39%," 97,637 "," 1,814.43 ",FALSE," 19,553.13 ",15.15%," 637,435 "," 1,800.01 ",FALSE
X-n204-k19.vrp," 19,565.00 "," 22,399.78 ",14.49%," 54,817 "," 1,817.44 ",FALSE," 22,140.68 ",13.16%," 466,922 "," 1,800.02 ",FALSE
