Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
C104.txt, 822.90 ," 1,402.82 ",70.47%," 296,076 "," 1,839.68 ",FALSE," 1,250.83 ",52.00%," 1,945,405 "," 1,800.07 ",FALSE
C1_2_10.TXT," 2,643.51 "," 4,340.16 ",64.18%," 110,139 "," 1,872.37 ",FALSE," 4,134.05 ",56.38%," 552,303 "," 1,800.05 ",FALSE
C201.txt, 589.10 ," 1,090.88 ",85.18%," 275,040 "," 1,831.77 ",FALSE," 1,058.14 ",79.62%," 2,063,258 "," 1,800.13 ",FALSE
C2_2_10.TXT," 1,806.58 "," 4,486.83 ",148.36%," 125,801 "," 1,899.96 ",FALSE," 3,127.95 ",73.14%," 565,239 "," 1,800.08 ",FALSE
R104.txt, 971.50 ," 1,451.17 ",49.37%," 458,703 "," 1,875.92 ",FALSE," 1,378.72 ",41.92%," 2,108,119 "," 1,800.11 ",FALSE
R1_2_10.TXT," 3,301.18 "," 5,389.92 ",63.27%," 137,982 "," 1,900.59 ",FALSE," 4,968.73 ",50.51%," 612,393 "," 1,800.04 ",FALSE
R203.txt, 870.80 ," 1,568.75 ",80.15%," 455,847 "," 1,861.34 ",FALSE," 1,357.88 ",55.93%," 2,018,350 "," 1,800.11 ",FALSE
R2_2_10.TXT," 2,654.97 "," 7,018.80 ",164.36%," 68,186 "," 1,858.61 ",FALSE," 3,996.36 ",50.52%," 762,180 "," 1,800.03 ",FALSE
RC104.txt," 1,132.30 "," 1,570.03 ",38.66%," 474,418 "," 1,860.96 ",FALSE," 1,579.81 ",39.52%," 1,983,120 "," 1,800.09 ",FALSE
RC2_2_10.TXT," 2,015.60 "," 4,335.25 ",115.08%," 125,691 "," 1,903.81 ",FALSE," 3,164.39 ",56.99%," 744,101 "," 1,800.03 ",FALSE
