,,,,,,,,,,,
Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
abz5.txt,1234," 3,836.00 ",210.86%," 2,255,858 "," 1,860.68 ",FALSE," 1,288.00 ",4.38%," 3,124,386 "," 1,800.12 ",FALSE
ft06.txt,55, 55.00 ,0.00%," 781,850 "," 1,803.84 ",FALSE, 55.00 ,0.00%," 1,081,177 ", 331.00 ,TRUE
ft10.txt,930," 2,611.00 ",180.75%," 282,578 "," 1,802.30 ",FALSE," 1,045.00 ",12.37%," 3,095,166 "," 1,800.16 ",FALSE
ft20.txt,1165," 2,340.00 ",100.86%," 1,518,322 "," 1,871.65 ",FALSE," 1,461.00 ",25.41%," 2,163,124 "," 1,800.04 ",FALSE
la07.txt,890," 1,735.00 ",94.94%," 2,242,289 "," 1,879.91 ",FALSE, 890.00 ,0.00%," 4,627,423 "," 1,800.24 ",FALSE
la21.txt,1046," 1,969.00 ",88.24%," 119,355 "," 1,802.18 ",FALSE," 1,290.00 ",23.33%," 2,172,833 "," 1,800.07 ",FALSE
la26.txt,1218," 6,261.00 ",414.04%," 879,101 "," 1,885.67 ",FALSE," 1,529.00 ",25.53%," 1,445,626 "," 1,800.07 ",FALSE
ta01.txt,1231," 3,468.00 ",181.72%," 79,798 "," 1,801.89 ",FALSE," 1,656.00 ",34.52%," 1,822,030 "," 1,800.10 ",FALSE
ta20.txt,1318," 10,475.00 ",694.76%," 643,473 "," 1,897.38 ",FALSE," 1,745.00 ",32.40%," 1,189,311 "," 1,800.08 ",FALSE
ta41.txt,1859," 10,166.00 ",446.85%," 21,130 "," 1,803.21 ",FALSE," 3,048.00 ",63.96%," 413,972 "," 1,800.18 ",FALSE
Average,-," 4,291.60 ",241.30%," 882,375.40 "," 1,840.87 ", - ," 1,400.70 ",22.19%," 2,113,504.80 "," 1,653.21 ",-
