Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
11.txt,574, 574.00 ,0.00%," 190,194 "," 1,805.02 ",FALSE, 574.00 ,0.00%," 7,004,591 "," 1,802.45 ",FALSE
14.txt,575, 575.00 ,0.00%," 190,766 "," 1,806.53 ",FALSE, 587.00 ,2.09%," 7,261,786 "," 1,800.45 ",FALSE
22.txt,599, 599.00 ,0.00%," 219,414 "," 1,805.86 ",FALSE, 652.00 ,8.85%," 7,281,788 "," 1,801.09 ",FALSE
31.txt,538, 538.00 ,0.00%," 234,090 "," 1,805.65 ",FALSE, 557.00 ,3.53%," 7,709,655 "," 1,801.33 ",FALSE
33.txt,624, 624.00 ,0.00%," 592,484 "," 1,815.80 ",FALSE, 679.00 ,8.81%," 7,967,678 "," 1,801.02 ",FALSE
39.txt,527, 527.00 ,0.00%," 219,092 "," 1,806.94 ",FALSE, 527.00 ,0.00%," 8,682,586 "," 1,800.78 ",FALSE
4.txt,602, 602.00 ,0.00%," 222,610 "," 1,810.26 ",FALSE, 657.00 ,9.14%," 7,250,502 "," 1,801.10 ",FALSE
46.txt,576, 576.00 ,0.00%," 246,020 "," 1,806.66 ",FALSE, 592.00 ,2.78%," 7,027,545 "," 1,801.50 ",FALSE
48.txt,550, 550.00 ,0.00%," 214,684 "," 1,805.18 ",FALSE, 584.00 ,6.18%," 7,103,117 "," 1,801.35 ",FALSE
50.txt,577, 577.00 ,0.00%," 199,588 "," 1,804.76 ",FALSE, 597.00 ,3.47%," 7,449,154 "," 1,802.10 ",FALSE
52.txt,607, 607.00 ,0.00%," 266,918 "," 1,806.35 ",FALSE, 634.00 ,4.45%," 6,267,422 "," 1,804.51 ",FALSE
53.txt,555, 555.00 ,0.00%," 204,711 "," 1,804.79 ",FALSE, 571.00 ,2.88%," 7,238,958 "," 1,801.95 ",FALSE
54.txt,552, 552.00 ,0.00%," 412,999 "," 1,814.81 ",FALSE, 553.00 ,0.18%," 7,554,678 "," 1,800.43 ",FALSE
59.txt,537, 537.00 ,0.00%," 228,617 "," 1,806.70 ",FALSE, 537.00 ,0.00%," 7,580,371 "," 1,801.13 ",FALSE
61.txt,600, 600.00 ,0.00%," 227,254 "," 1,849.28 ",FALSE, 633.00 ,5.50%," 7,434,889 "," 1,801.32 ",FALSE
75.txt,550, 550.00 ,0.00%," 291,861 "," 1,808.99 ",FALSE, 550.00 ,0.00%," 7,627,007 "," 1,801.41 ",FALSE
78.txt,551, 551.00 ,0.00%," 219,278 "," 1,805.67 ",FALSE, 609.00 ,10.53%," 7,256,800 "," 1,801.10 ",FALSE
79.txt,612, 612.00 ,0.00%," 267,453 "," 1,806.70 ",FALSE, 632.00 ,3.27%," 7,343,640 "," 1,801.03 ",FALSE
87.txt,588, 588.00 ,0.00%," 230,669 "," 1,810.09 ",FALSE, 625.00 ,6.29%," 7,267,136 "," 1,801.46 ",FALSE
89.txt,529, 529.00 ,0.00%," 242,319 "," 1,805.83 ",FALSE, 550.00 ,3.97%," 7,535,998 "," 1,800.60 ",FALSE
