Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
0.txt,1416," 1,416.00 ",0.00%," 25,781 ", 12.17 ,TRUE," 1,416.00 ",0.00%," 25,176 ", 3.91 ,TRUE
10.txt,1541," 1,541.00 ",0.00%," 9,544 ", 3.70 ,TRUE," 1,541.00 ",0.00%," 9,411 ", 1.38 ,TRUE
12.txt,1551," 1,551.00 ",0.00%," 37,233 ", 13.65 ,TRUE," 1,551.00 ",0.00%," 37,304 ", 4.82 ,TRUE
14.txt,1723," 1,723.00 ",0.00%," 10,290 ", 3.40 ,TRUE," 1,723.00 ",0.00%," 10,172 ", 1.36 ,TRUE
27.txt,1502," 1,502.00 ",0.00%," 18,129 ", 10.14 ,TRUE," 1,502.00 ",0.00%," 18,402 ", 2.89 ,TRUE
29.txt,1584," 1,584.00 ",0.00%," 12,062 ", 7.57 ,TRUE," 1,584.00 ",0.00%," 12,138 ", 1.77 ,TRUE
3.txt,1628," 1,628.00 ",0.00%," 12,468 ", 5.17 ,TRUE," 1,628.00 ",0.00%," 16,114 ", 2.29 ,TRUE
31.txt,1494," 1,494.00 ",0.00%," 12,173 ", 9.34 ,TRUE," 1,494.00 ",0.00%," 11,713 ", 1.51 ,TRUE
46.txt,1667," 1,667.00 ",0.00%," 13,372 ", 5.93 ,TRUE," 1,667.00 ",0.00%," 13,270 ", 2.24 ,TRUE
48.txt,1495," 1,495.00 ",0.00%," 23,169 ", 6.39 ,TRUE," 1,495.00 ",0.00%," 21,069 ", 2.47 ,TRUE
51.txt,1311," 1,311.00 ",0.00%," 85,065 ", 29.16 ,TRUE," 1,311.00 ",0.00%," 61,022 ", 6.76 ,TRUE
52.txt,1716," 1,716.00 ",0.00%," 8,275 ", 2.23 ,TRUE," 1,716.00 ",0.00%," 7,920 ", 1.00 ,TRUE
56.txt,1641," 1,641.00 ",0.00%," 26,691 ", 9.93 ,TRUE," 1,641.00 ",0.00%," 26,707 ", 4.38 ,TRUE
59.txt,1418," 1,418.00 ",0.00%," 63,096 ", 24.50 ,TRUE," 1,418.00 ",0.00%," 62,049 ", 6.92 ,TRUE
64.txt,1798," 1,798.00 ",0.00%," 13,820 ", 4.66 ,TRUE," 1,798.00 ",0.00%," 13,777 ", 1.89 ,TRUE
72.txt,1718," 1,718.00 ",0.00%," 28,568 ", 9.74 ,TRUE," 1,718.00 ",0.00%," 28,514 ", 3.45 ,TRUE
75.txt,1593," 1,593.00 ",0.00%," 14,576 ", 3.96 ,TRUE," 1,593.00 ",0.00%," 11,034 ", 1.40 ,TRUE
80.txt,1769," 1,769.00 ",0.00%," 12,226 ", 6.77 ,TRUE," 1,769.00 ",0.00%," 12,204 ", 1.61 ,TRUE
84.txt,1440," 1,440.00 ",0.00%," 15,549 ", 5.64 ,TRUE," 1,440.00 ",0.00%," 15,071 ", 2.03 ,TRUE
85.txt,1664," 1,664.00 ",0.00%," 16,751 ", 8.51 ,TRUE," 1,664.00 ",0.00%," 16,826 ", 2.59 ,TRUE
